"",BBDE1.Q.DE.Y.LCA1.A2N200000.A.L.I08.A,BBDE1.Q.DE.Y.LCA1.A2N200000.A.L.I08.A_FLAGS
"",Index of labour costs / Germany / Private sector (B-N) / Calendar and seasonally adjusted,
unit,2008=100 (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-09 08:05:07,
1996-01,78.5,
1996-04,78.6,
1996-07,79.7,
1996-10,81.4,
1997-01,81.5,
1997-04,79.8,
1997-07,80.6,
1997-10,81.5,
1998-01,81.2,
1998-04,81.7,
1998-07,82.1,
1998-10,82.6,
1999-01,82.8,
1999-04,83.6,
1999-07,84.0,
1999-10,84.0,
2000-01,84.9,
2000-04,86.4,
2000-07,87.0,
2000-10,87.9,
2001-01,87.7,
2001-04,88.8,
2001-07,89.3,
2001-10,89.9,
2002-01,90.7,
2002-04,90.2,
2002-07,91.6,
2002-10,92.1,
2003-01,93.4,
2003-04,93.7,
2003-07,93.7,
2003-10,93.8,
2004-01,94.7,
2004-04,94.7,
2004-07,94.2,
2004-10,94.2,
2005-01,95.8,
2005-04,94.5,
2005-07,95.1,
2005-10,95.4,
2006-01,96.0,
2006-04,96.5,
2006-07,97.2,
2006-10,97.1,
2007-01,96.3,
2007-04,97.5,
2007-07,97.8,
2007-10,98.8,
2008-01,99.6,
2008-04,97.9,
2008-07,99.8,
2008-10,102.8,
2009-01,102.2,
2009-04,102.0,
2009-07,102.4,
2009-10,101.9,
2010-01,103.4,
2010-04,102.9,
2010-07,103.5,
2010-10,103.8,
2011-01,105.2,
2011-04,106.4,
2011-07,106.4,
2011-10,107.5,
2012-01,107.6,
2012-04,110.4,
2012-07,110.5,
2012-10,111.1,
2013-01,111.8,
2013-04,111.0,
2013-07,110.7,
2013-10,112.3,
2014-01,112.1,
2014-04,113.3,
2014-07,113.1,
