"",BBK01.OEHK04L,BBK01.OEHK04L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:09:44,
2002-01,0.587,
2002-04,0.580,
2002-07,0.558,
2002-10,0.505,
2003-01,0.506,
2003-04,0.458,
2003-07,0.421,
2003-10,0.421,
2004-01,0.377,
2004-04,0.339,
2004-07,0.365,
2004-10,0.338,
2005-01,0.343,
2005-04,0.336,
2005-07,0.336,
2005-10,0.336,
2006-01,0.364,
2006-04,0.388,
2006-07,0.431,
2006-10,0.463,
2007-01,0.551,
2007-04,0.582,
2007-07,0.637,
2007-10,0.711,
2008-01,0.768,
2008-04,0.835,
2008-07,0.950,
2008-10,0.921,
2009-01,0.618,
2009-04,0.457,
2009-07,0.301,
2009-10,0.278,
2010-01,0.277,
2010-04,0.236,
2010-07,0.195,
2010-10,0.175,
2011-01,0.209,
2011-04,0.241,
2011-07,0.308,
2011-10,0.314,
2012-01,0.299,
2012-04,0.283,
2012-07,0.270,
2012-10,0.215,
2013-01,0.194,
2013-04,0.176,
2013-07,0.194,
2013-10,0.192,
2014-01,0.189,
2014-04,0.170,
2014-07,0.172,
