"",BBK01.OEBJ01Q,BBK01.OEBJ01Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:06,
2002-01,1.828,
2002-04,1.743,
2002-07,1.742,
2002-10,2.075,
2003-01,1.968,
2003-04,1.925,
2003-07,2.847,
2003-10,2.021,
2004-01,1.833,
2004-04,1.832,
2004-07,1.818,
2004-10,1.995,
2005-01,1.944,
2005-04,1.878,
2005-07,2.200,
2005-10,2.067,
2006-01,1.780,
2006-04,1.955,
2006-07,1.898,
2006-10,2.088,
2007-01,1.948,
2007-04,2.100,
2007-07,1.926,
2007-10,2.277,
2008-01,2.170,
2008-04,2.200,
2008-07,2.160,
2008-10,2.280,
2009-01,2.320,
2009-04,2.409,
2009-07,2.559,
2009-10,2.793,
2010-01,2.654,
2010-04,2.595,
2010-07,2.532,
2010-10,2.683,
2011-01,2.533,
2011-04,2.391,
2011-07,2.371,
2011-10,2.583,
2012-01,2.642,
2012-04,2.527,
2012-07,2.674,
2012-10,2.946,
2013-01,2.704,
2013-04,2.732,
2013-07,2.672,
2013-10,2.879,
2014-01,2.868,
2014-04,2.846,
2014-07,2.940,
