"",BBK01.CEFC60,BBK01.CEFC60_FLAGS
"",Financial derivatives and employee stock options                         debtor: Money market funds                              creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:35:07,
1999-01,408.3,
1999-04,453.7,
1999-07,452.2,
1999-10,450.7,
2000-01,452.2,
2000-04,453.7,
2000-07,507.6,
2000-10,561.6,
2001-01,597.5,
2001-04,633.4,
2001-07,699.3,
2001-10,765.2,
2002-01,800.4,
2002-04,824.3,
2002-07,916.5,
2002-10,946.0,
2003-01,1016.6,
2003-04,1054.6,
2003-07,1001.6,
2003-10,950.7,
2004-01,1094.7,
2004-04,1013.5,
2004-07,1011.2,
2004-10,1019.8,
2005-01,1074.7,
2005-04,1087.2,
2005-07,1133.0,
2005-10,1133.2,
2006-01,1175.4,
2006-04,1195.4,
2006-07,1164.6,
2006-10,1156.0,
2007-01,1260.5,
2007-04,1356.0,
2007-07,1390.1,
2007-10,1455.1,
2008-01,1627.0,
2008-04,1531.8,
2008-07,1700.2,
2008-10,1816.1,
2009-01,1896.4,
2009-04,1235.5,
2009-07,1173.8,
2009-10,1090.5,
2010-01,1179.9,
2010-04,1445.8,
2010-07,1328.2,
2010-10,967.9,
2011-01,777.2,
2011-04,743.6,
2011-07,1170.0,
2011-10,1123.9,
2012-01,1037.4,
2012-04,1149.5,
2012-07,1143.4,
2012-10,1034.4,
2013-01,926.3,
2013-04,767.9,
2013-07,711.8,
2013-10,645.1,
2014-01,628.4,
2014-04,670.4,
2014-07,756.8,
