"",BBK01.OECB14T,BBK01.OECB14T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:05,
2002-01,0.056,
2002-04,0.057,
2002-07,0.057,
2002-10,0.056,
2003-01,0.051,
2003-04,0.050,
2003-07,0.050,
2003-10,0.047,
2004-01,0.045,
2004-04,0.047,
2004-07,0.044,
2004-10,0.059,
2005-01,0.060,
2005-04,0.062,
2005-07,0.063,
2005-10,0.058,
2006-01,0.055,
2006-04,0.056,
2006-07,0.054,
2006-10,0.055,
2007-01,0.046,
2007-04,0.046,
2007-07,0.042,
2007-10,0.044,
2008-01,0.041,
2008-04,0.043,
2008-07,0.042,
2008-10,0.044,
2009-01,0.041,
2009-04,0.039,
2009-07,0.039,
2009-10,0.039,
2010-01,0.039,
2010-04,0.038,
2010-07,0.040,
2010-10,0.038,
2011-01,0.037,
2011-04,0.039,
2011-07,0.037,
2011-10,0.036,
2012-01,0.036,
2012-04,0.035,
2012-07,0.036,
2012-10,0.036,
2013-01,0.036,
2013-04,0.036,
2013-07,0.035,
2013-10,0.034,
2014-01,0.032,
2014-04,0.034,
2014-07,0.037,
