"",BBK01.OEAH21L,BBK01.OEAH21L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:11,
2002-01,101.019,
2002-04,102.016,
2002-07,102.038,
2002-10,102.744,
2003-01,102.992,
2003-04,103.338,
2003-07,105.608,
2003-10,105.603,
2004-01,106.348,
2004-04,107.831,
2004-07,108.824,
2004-10,109.605,
2005-01,111.035,
2005-04,110.096,
2005-07,110.886,
2005-10,111.140,
2006-01,115.587,
2006-04,115.859,
2006-07,115.331,
2006-10,114.346,
2007-01,113.144,
2007-04,112.944,
2007-07,115.314,
2007-10,116.059,
2008-01,117.242,
2008-04,116.638,
2008-07,125.009,
2008-10,137.224,
2009-01,138.008,
2009-04,138.097,
2009-07,128.941,
2009-10,128.592,
2010-01,126.919,
2010-04,127.089,
2010-07,131.638,
2010-10,154.214,
2011-01,148.977,
2011-04,146.398,
2011-07,145.315,
2011-10,143.770,
2012-01,141.326,
2012-04,138.238,
2012-07,136.033,
2012-10,133.613,
2013-01,131.723,
2013-04,131.153,
2013-07,131.315,
2013-10,129.071,
2014-01,128.343,
2014-04,126.925,
2014-07,125.774,
