"",BBSF2.M.1.T.00000.TOT01.I.F.WPS.US.00000.000000.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.WPS.US.00000.000000.Z01.00_FLAGS
"",Funds total / Funds total / Securities total / United States,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:21,
2009-09,63942,
2009-10,62933,
2009-11,63630,
2009-12,66365,
2010-01,66892,
2010-02,67846,
2010-03,70281,
2010-04,72664,
2010-05,73347,
2010-06,72668,
2010-07,71192,
2010-08,72357,
2010-09,71987,
2010-10,72461,
2010-11,75406,
2010-12,76115,
2011-01,74633,
2011-02,75247,
2011-03,73601,
2011-04,72387,
2011-05,74305,
2011-06,73248,
2011-07,73892,
2011-08,70166,
2011-09,69655,
2011-10,70675,
2011-11,71007,
2011-12,74838,
2012-01,76533,
2012-02,77084,
2012-03,77735,
2012-04,78648,
2012-05,80833,
2012-06,80540,
2012-07,84332,
2012-08,84622,
2012-09,85313,
2012-10,84571,
2012-11,86665,
2012-12,86532,
2013-01,87951,
2013-02,92531,
2013-03,96909,
2013-04,97342,
2013-05,99400,
2013-06,97214,
2013-07,100981,
2013-08,101058,
2013-09,101949,
2013-10,103429,
2013-11,108373,
2013-12,107902,
2014-01,109045,
2014-02,108029,
2014-03,108877,
2014-04,110151,
2014-05,113787,
2014-06,116378,
2014-07,118339,
2014-08,123465,
2014-09,129475,
2014-10,132710,
2014-11,138649,
