"",BBK01.OEAG04S,BBK01.OEAG04S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:36,
2002-01,2.031,
2002-04,1.997,
2002-07,2.060,
2002-10,2.092,
2003-01,2.026,
2003-04,2.052,
2003-07,2.079,
2003-10,2.219,
2004-01,2.249,
2004-04,2.215,
2004-07,2.308,
2004-10,2.384,
2005-01,2.411,
2005-04,2.304,
2005-07,2.393,
2005-10,2.419,
2006-01,2.470,
2006-04,2.474,
2006-07,2.472,
2006-10,2.467,
2007-01,2.594,
2007-04,2.594,
2007-07,2.476,
2007-10,2.470,
2008-01,2.489,
2008-04,2.462,
2008-07,2.399,
2008-10,2.395,
2009-01,2.357,
2009-04,2.344,
2009-07,2.315,
2009-10,2.153,
2010-01,2.199,
2010-04,2.211,
2010-07,2.237,
2010-10,2.305,
2011-01,2.315,
2011-04,2.319,
2011-07,2.302,
2011-10,2.381,
2012-01,2.297,
2012-04,2.268,
2012-07,2.266,
2012-10,2.212,
2013-01,2.268,
2013-04,2.295,
2013-07,2.292,
2013-10,2.343,
2014-01,2.312,
2014-04,2.380,
2014-07,2.387,
