"",BBFB1.Q.N.DE.HK.S1.S1.T.L.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.HK.S1.S1.T.L.FA.D.F._Z._T._X.N_FLAGS
"","Financial account / Net foreign financial investment in the reporting country / Direct investment / Hong Kong, China",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:47:56,
1991-01,-5.482,
1991-04,-3.193,
1991-07,-5.002,
1991-10,13.850,
1992-01,0.758,
1992-04,1.968,
1992-07,0.719,
1992-10,3.111,
1993-01,-23.588,
1993-04,7.415,
1993-07,3.169,
1993-10,-88.790,
1994-01,8.027,
1994-04,1.495,
1994-07,-44.278,
1994-10,2.663,
1995-01,9.121,
1995-04,17.522,
1995-07,7.228,
1995-10,1.631,
1996-01,102.470,
1996-04,54.299,
1996-07,265.830,
1996-10,-115.692,
1997-01,-20.784,
1997-04,77.157,
1997-07,-72.093,
1997-10,-46.262,
1998-01,-22.647,
1998-04,-23.028,
1998-07,56.658,
1998-10,-35.688,
1999-01,-25.842,
1999-04,35.726,
1999-07,31.538,
1999-10,-23.595,
2000-01,-47.265,
2000-04,218.142,
2000-07,-68.892,
2000-10,110.286,
2001-01,11.922,
2001-04,71.665,
2001-07,-32.458,
2001-10,69.623,
2002-01,-32.628,
2002-04,47.017,
2002-07,-110.392,
2002-10,59.010,
2003-01,-163.417,
2003-04,223.258,
2003-07,-5.489,
2003-10,-66.215,
2004-01,-60.776,
2004-04,118.085,
2004-07,28.534,
2004-10,-23.839,
2005-01,-5.092,
2005-04,222.593,
2005-07,32.147,
2005-10,-149.708,
2006-01,-41.637,
2006-04,115.698,
2006-07,-224.360,
2006-10,154.791,
2007-01,69.950,
2007-04,-99.585,
2007-07,52.888,
2007-10,26.211,
2008-01,-11.982,
2008-04,49.939,
2008-07,-55.921,
2008-10,84.315,
2009-01,-26.103,
2009-04,193.807,
2009-07,-25.610,
2009-10,-260.516,
2010-01,76.888,
2010-04,67.222,
2010-07,48.986,
2010-10,499.329,
2011-01,65.273,
2011-04,-186.879,
2011-07,192.588,
2011-10,-9.622,
2012-01,104.233,
2012-04,-74.840,
2012-07,384.721,
2012-10,-230.742,
2013-01,4.039,
2013-04,-50.683,
2013-07,210.171,
2013-10,-113.340,
2014-01,92.640,Provisional value
2014-04,-222.594,Provisional value
2014-07,191.338,Provisional value
2014-10,269.468,Provisional value
