"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.ES.00000.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.ES.00000.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Spain,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:45,
2009-09,40523,
2009-10,41012,
2009-11,41251,
2009-12,40512,
2010-01,41320,
2010-02,41599,
2010-03,41892,
2010-04,39015,
2010-05,36767,
2010-06,35312,
2010-07,36188,
2010-08,37296,
2010-09,37894,
2010-10,38661,
2010-11,35912,
2010-12,34569,
2011-01,35054,
2011-02,36798,
2011-03,38223,
2011-04,38204,
2011-05,37310,
2011-06,36486,
2011-07,35659,
2011-08,35247,
2011-09,34435,
2011-10,34235,
2011-11,32436,
2011-12,33037,
2012-01,33220,
2012-02,34344,
2012-03,34037,
2012-04,32278,
2012-05,29823,
2012-06,27945,
2012-07,27409,
2012-08,27790,
2012-09,29115,
2012-10,31160,
2012-11,33262,
2012-12,34778,
2013-01,38328,
2013-02,38463,
2013-03,38923,
2013-04,40533,
2013-05,40747,
2013-06,39919,
2013-07,39614,
2013-08,39953,
2013-09,40085,
2013-10,39677,
2013-11,40446,
2013-12,40680,
2014-01,42295,
2014-02,42290,
2014-03,43248,
2014-04,43544,
2014-05,44081,
2014-06,43178,
2014-07,43862,
2014-08,44573,
2014-09,44670,
2014-10,44556,
2014-11,45910,
