"",BBFB1.Q.N.DE.BR.S1.S1.T.L.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.BR.S1.S1.T.L.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Equity / Reinvested earnings / Brazil,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:38,
1991-01,1.247,
1991-04,1.247,
1991-07,1.247,
1991-10,1.247,
1992-01,-0.747,
1992-04,-0.747,
1992-07,-0.747,
1992-10,-0.747,
1993-01,-0.589,
1993-04,-0.589,
1993-07,-0.589,
1993-10,-0.589,
1994-01,-2.281,
1994-04,-2.281,
1994-07,-2.281,
1994-10,-2.281,
1995-01,-0.216,
1995-04,-0.216,
1995-07,-0.216,
1995-10,-0.216,
1996-01,-2.578,
1996-04,-2.578,
1996-07,-2.578,
1996-10,-2.578,
1997-01,-,Nothing exists
1997-04,-,Nothing exists
1997-07,-,Nothing exists
1997-10,-,Nothing exists
1998-01,-,Nothing exists
1998-04,-,Nothing exists
1998-07,-,Nothing exists
1998-10,-,Nothing exists
1999-01,-,Nothing exists
1999-04,-1.000,
1999-07,-1.000,
1999-10,-,Nothing exists
2000-01,-,Nothing exists
2000-04,-,Nothing exists
2000-07,-,Nothing exists
2000-10,-,Nothing exists
2001-01,0.525,
2001-04,0.660,
2001-07,-0.340,
2001-10,0.525,
2002-01,0.514,
2002-04,0.617,
2002-07,0.667,
2002-10,0.770,
2003-01,0.521,
2003-04,0.625,
2003-07,-1.322,
2003-10,0.782,
2004-01,1.300,
2004-04,1.282,
2004-07,1.373,
2004-10,1.426,
2005-01,1.691,
2005-04,1.670,
2005-07,1.784,
2005-10,1.853,
2006-01,1.047,
2006-04,1.127,
2006-07,1.291,
2006-10,1.533,
2007-01,-0.441,
2007-04,0.333,
2007-07,1.888,
2007-10,1.225,
2008-01,-8.304,
2008-04,3.510,
2008-07,6.188,
2008-10,0.738,
2009-01,0.027,
2009-04,0.216,
2009-07,0.594,
2009-10,0.162,
2010-01,2.373,
2010-04,2.999,
2010-07,3.313,
2010-10,3.316,
2011-01,2.466,
2011-04,2.413,
2011-07,-2.527,
2011-10,2.650,
2012-01,1.935,
2012-04,3.094,
2012-07,3.124,
2012-10,3.023,
2013-01,0.968,
2013-04,1.856,
2013-07,1.792,
2013-10,1.780,
2014-01,0.816,Provisional value
2014-04,1.844,Provisional value
2014-07,1.862,Provisional value
2014-10,1.872,Provisional value
