"",BBK01.OEAC22J,BBK01.OEAC22J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:01,
2002-01,0.238,
2002-04,0.230,
2002-07,0.218,
2002-10,0.192,
2003-01,0.223,
2003-04,0.230,
2003-07,0.243,
2003-10,0.224,
2004-01,0.204,
2004-04,0.208,
2004-07,0.183,
2004-10,0.211,
2005-01,0.194,
2005-04,0.201,
2005-07,0.209,
2005-10,0.260,
2006-01,0.224,
2006-04,0.254,
2006-07,0.243,
2006-10,0.260,
2007-01,0.294,
2007-04,0.282,
2007-07,0.273,
2007-10,0.295,
2008-01,0.300,
2008-04,0.339,
2008-07,0.337,
2008-10,0.339,
2009-01,0.384,
2009-04,0.394,
2009-07,0.470,
2009-10,0.389,
2010-01,1.241,
2010-04,0.409,
2010-07,0.473,
2010-10,0.482,
2011-01,0.449,
2011-04,0.433,
2011-07,0.519,
2011-10,0.559,
2012-01,0.547,
2012-04,0.599,
2012-07,0.582,
2012-10,0.573,
2013-01,0.535,
2013-04,0.500,
2013-07,0.497,
2013-10,0.474,
2014-01,0.445,
2014-04,0.448,
2014-07,0.440,
