"",BBK01.OEYB24O,BBK01.OEYB24O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:47,
2002-01,9.045,
2002-04,8.946,
2002-07,8.857,
2002-10,8.795,
2003-01,8.890,
2003-04,8.925,
2003-07,9.023,
2003-10,9.225,
2004-01,8.964,
2004-04,8.928,
2004-07,9.007,
2004-10,10.510,
2005-01,10.234,
2005-04,9.920,
2005-07,9.930,
2005-10,9.738,
2006-01,9.431,
2006-04,9.330,
2006-07,9.187,
2006-10,9.105,
2007-01,8.971,
2007-04,8.681,
2007-07,8.188,
2007-10,7.941,
2008-01,7.352,
2008-04,6.925,
2008-07,4.016,
2008-10,3.542,
2009-01,3.415,
2009-04,3.360,
2009-07,3.393,
2009-10,3.320,
2010-01,3.150,
2010-04,3.011,
2010-07,2.993,
2010-10,2.902,
2011-01,2.771,
2011-04,2.701,
2011-07,2.670,
2011-10,2.646,
2012-01,2.608,
2012-04,3.101,
2012-07,3.012,
2012-10,2.973,
2013-01,2.938,
2013-04,2.913,
2013-07,3.950,
2013-10,4.028,
2014-01,4.042,
2014-04,3.950,
2014-07,4.031,
