"",BBK01.OECB15Q,BBK01.OECB15Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:31,
2002-01,0.056,
2002-04,0.051,
2002-07,0.049,
2002-10,0.045,
2003-01,0.044,
2003-04,0.041,
2003-07,0.039,
2003-10,0.035,
2004-01,0.032,
2004-04,0.030,
2004-07,0.029,
2004-10,0.087,
2005-01,0.083,
2005-04,0.078,
2005-07,0.077,
2005-10,0.072,
2006-01,0.080,
2006-04,0.081,
2006-07,0.064,
2006-10,0.067,
2007-01,0.064,
2007-04,0.065,
2007-07,0.065,
2007-10,0.057,
2008-01,0.056,
2008-04,0.052,
2008-07,0.052,
2008-10,0.044,
2009-01,0.045,
2009-04,0.061,
2009-07,0.060,
2009-10,0.063,
2010-01,0.064,
2010-04,0.052,
2010-07,0.056,
2010-10,0.052,
2011-01,0.046,
2011-04,0.039,
2011-07,0.038,
2011-10,0.036,
2012-01,0.037,
2012-04,0.036,
2012-07,0.038,
2012-10,0.039,
2013-01,0.041,
2013-04,0.044,
2013-07,0.039,
2013-10,0.038,
2014-01,0.040,
2014-04,0.037,
2014-07,0.037,
