"",BBK01.OELK04L,BBK01.OELK04L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:32,
2002-01,0.725,
2002-04,0.722,
2002-07,0.716,
2002-10,0.696,
2003-01,0.674,
2003-04,0.645,
2003-07,0.633,
2003-10,0.622,
2004-01,0.612,
2004-04,0.566,
2004-07,0.564,
2004-10,0.540,
2005-01,0.529,
2005-04,0.536,
2005-07,0.560,
2005-10,0.557,
2006-01,0.540,
2006-04,0.550,
2006-07,0.578,
2006-10,0.625,
2007-01,0.645,
2007-04,0.721,
2007-07,0.793,
2007-10,0.944,
2008-01,0.949,
2008-04,0.998,
2008-07,1.053,
2008-10,1.162,
2009-01,0.940,
2009-04,0.783,
2009-07,0.656,
2009-10,0.581,
2010-01,0.525,
2010-04,0.488,
2010-07,0.487,
2010-10,0.509,
2011-01,0.504,
2011-04,0.553,
2011-07,0.552,
2011-10,0.545,
2012-01,0.522,
2012-04,0.458,
2012-07,0.414,
2012-10,0.404,
2013-01,0.386,
2013-04,0.360,
2013-07,0.330,
2013-10,0.334,
2014-01,0.324,
2014-04,0.318,
2014-07,0.304,
