"",BBK01.CEB4Q3,BBK01.CEB4Q3_FLAGS
"",Loans (consolidated) debtor: All sectors                    creditor: Monetary financial institutions,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:14:55,
1991-01,1566.5,
1991-04,1608.1,
1991-07,1643.7,
1991-10,1698.8,
1992-01,1721.5,
1992-04,1756.6,
1992-07,1773.6,
1992-10,1799.4,
1993-01,1815.3,
1993-04,1848.9,
1993-07,1880.2,
1993-10,1945.5,
1994-01,1958.6,
1994-04,1981.2,
1994-07,2009.5,
1994-10,2052.6,
1995-01,2071.9,
1995-04,2113.9,
1995-07,2156.8,
1995-10,2223.3,
1996-01,2253.5,
1996-04,2291.6,
1996-07,2319.9,
1996-10,2400.4,
1997-01,2430.2,
1997-04,2464.3,
1997-07,2505.3,
1997-10,2571.5,
1998-01,2595.8,
1998-04,2627.0,
1998-07,2670.2,
1998-10,2735.3,
1999-01,2789.6,
1999-04,2824.0,
1999-07,2871.7,
1999-10,2946.2,
2000-01,2962.7,
2000-04,3001.3,
2000-07,3021.7,
2000-10,3038.5,
2001-01,3116.0,
2001-04,3102.6,
2001-07,3115.4,
2001-10,3112.7,
2002-01,3139.7,
2002-04,3108.1,
2002-07,3136.3,
2002-10,3117.5,
2003-01,3127.7,
2003-04,3096.4,
2003-07,3112.6,
2003-10,3117.6,
2004-01,3138.0,
2004-04,3081.6,
2004-07,3126.5,
2004-10,3107.1,
2005-01,3112.0,
2005-04,3108.5,
2005-07,3132.7,
2005-10,3138.3,
2006-01,3143.0,
2006-04,3136.1,
2006-07,3188.0,
2006-10,3134.9,
2007-01,3185.9,
2007-04,3199.0,
2007-07,3255.3,
2007-10,3287.8,
2008-01,3375.7,
2008-04,3397.2,
2008-07,3461.2,
2008-10,3436.0,
2009-01,3475.9,
2009-04,3494.6,
2009-07,3471.2,
2009-10,3434.8,
2010-01,3462.7,
2010-04,3567.4,
2010-07,3577.4,
2010-10,3624.8,
2011-01,3594.1,
2011-04,3607.5,
2011-07,3768.6,
2011-10,3785.0,
2012-01,3955.5,
2012-04,4082.0,
2012-07,4065.3,
2012-10,3973.0,
2013-01,3924.3,
2013-04,3902.5,
2013-07,3769.7,
2013-10,3699.3,
2014-01,3645.6,
