"",BBSF2.M.1.S.00000.GEM01.I.F.GMP.DE.00000.F33100.Z01.B1,BBSF2.M.1.S.00000.GEM01.I.F.GMP.DE.00000.F33100.Z01.B1_FLAGS
"",Special investors funds / Mixed securities funds / Short-term debt securities / Germany,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:01,
2009-09,993,
2009-10,664,
2009-11,506,
2009-12,581,
2010-01,643,
2010-02,532,
2010-03,383,
2010-04,366,
2010-05,476,
2010-06,473,
2010-07,526,
2010-08,604,
2010-09,611,
2010-10,578,
2010-11,592,
2010-12,723,
2011-01,762,
2011-02,724,
2011-03,840,
2011-04,803,
2011-05,812,
2011-06,862,
2011-07,768,
2011-08,632,
2011-09,592,
2011-10,496,
2011-11,447,
2011-12,513,
2012-01,400,
2012-02,395,
2012-03,349,
2012-04,366,
2012-05,406,
2012-06,347,
2012-07,241,
2012-08,209,
2012-09,156,
2012-10,150,
2012-11,151,
2012-12,135,
2013-01,108,
2013-02,134,
2013-03,194,
2013-04,209,
2013-05,192,
2013-06,259,
2013-07,262,
2013-08,276,
2013-09,301,
2013-10,281,
2013-11,287,
2013-12,250,
2014-01,228,
2014-02,243,
2014-03,263,
2014-04,253,
2014-05,229,
2014-06,269,
2014-07,271,
2014-08,412,
2014-09,408,
2014-10,419,
2014-11,400,
