"",BBK01.OEAB05Q,BBK01.OEAB05Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:06,
2002-01,91.689,
2002-04,91.436,
2002-07,87.733,
2002-10,89.155,
2003-01,88.580,
2003-04,96.728,
2003-07,97.040,
2003-10,97.005,
2004-01,95.442,
2004-04,85.424,
2004-07,84.616,
2004-10,86.691,
2005-01,86.927,
2005-04,88.520,
2005-07,87.989,
2005-10,87.731,
2006-01,88.168,
2006-04,91.988,
2006-07,88.529,
2006-10,90.350,
2007-01,93.860,
2007-04,91.687,
2007-07,84.616,
2007-10,84.065,
2008-01,80.394,
2008-04,82.768,
2008-07,81.228,
2008-10,78.804,
2009-01,78.439,
2009-04,80.932,
2009-07,81.947,
2009-10,86.757,
2010-01,85.402,
2010-04,86.141,
2010-07,81.171,
2010-10,81.446,
2011-01,81.685,
2011-04,78.260,
2011-07,73.766,
2011-10,73.188,
2012-01,75.761,
2012-04,78.012,
2012-07,80.898,
2012-10,80.924,
2013-01,79.146,
2013-04,77.266,
2013-07,77.647,
2013-10,83.016,
2014-01,82.409,
2014-04,83.380,
2014-07,83.597,
