"",BBK01.OEXL01S,BBK01.OEXL01S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:51,
2002-01,0.948,
2002-04,0.919,
2002-07,0.888,
2002-10,0.909,
2003-01,0.873,
2003-04,0.850,
2003-07,0.822,
2003-10,0.835,
2004-01,0.809,
2004-04,0.784,
2004-07,0.763,
2004-10,0.792,
2005-01,0.809,
2005-04,0.801,
2005-07,0.776,
2005-10,0.805,
2006-01,0.832,
2006-04,0.835,
2006-07,0.829,
2006-10,0.872,
2007-01,0.989,
2007-04,1.047,
2007-07,1.082,
2007-10,1.153,
2008-01,1.159,
2008-04,1.187,
2008-07,1.210,
2008-10,1.344,
2009-01,1.293,
2009-04,1.269,
2009-07,1.286,
2009-10,1.228,
2010-01,1.192,
2010-04,1.283,
2010-07,1.273,
2010-10,1.317,
2011-01,1.402,
2011-04,1.412,
2011-07,1.410,
2011-10,1.492,
2012-01,1.467,
2012-04,1.479,
2012-07,1.472,
2012-10,1.460,
2013-01,1.459,
2013-04,1.426,
2013-07,1.429,
2013-10,1.416,
2014-01,1.454,
2014-04,1.464,
2014-07,1.508,
