"",BBK01.OEYJ02K,BBK01.OEYJ02K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:36,
2002-01,2.583,
2002-04,2.816,
2002-07,4.541,
2002-10,3.498,
2003-01,4.212,
2003-04,3.641,
2003-07,2.203,
2003-10,3.387,
2004-01,2.550,
2004-04,3.841,
2004-07,4.720,
2004-10,1.671,
2005-01,1.601,
2005-04,1.899,
2005-07,1.852,
2005-10,1.782,
2006-01,1.707,
2006-04,2.145,
2006-07,2.322,
2006-10,2.148,
2007-01,2.305,
2007-04,2.408,
2007-07,2.380,
2007-10,2.621,
2008-01,2.418,
2008-04,2.283,
2008-07,2.350,
2008-10,2.536,
2009-01,2.118,
2009-04,2.429,
2009-07,3.857,
2009-10,3.590,
2010-01,3.524,
2010-04,3.858,
2010-07,4.149,
2010-10,4.498,
2011-01,4.141,
2011-04,3.248,
2011-07,3.802,
2011-10,4.644,
2012-01,4.599,
2012-04,4.350,
2012-07,4.660,
2012-10,3.528,
2013-01,3.891,
2013-04,3.850,
2013-07,4.290,
2013-10,3.938,
2014-01,4.327,
2014-04,4.435,
2014-07,4.677,
