"",BBK01.SUD114S,BBK01.SUD114S_FLAGS
"",Effective interest rates of German banks / New business (estimated) / Loans for consumption to households with an initial rate fixation of over 1 year and up to 5 years,
unit,% p.a. (hypothetically euro-based),
unit multiplier,one,
last update,2014-01-30 11:39:57,
2000-01,6.4972,Estimated value
2000-02,6.4972,Estimated value
2000-03,6.4972,Estimated value
2000-04,6.4908,Estimated value
2000-05,6.5611,Estimated value
2000-06,6.6632,Estimated value
2000-07,6.7015,Estimated value
2000-08,6.7653,Estimated value
2000-09,6.7908,Estimated value
2000-10,6.8227,Estimated value
2000-11,6.8483,Estimated value
2000-12,6.8929,Estimated value
2001-01,6.9057,Estimated value
2001-02,6.9057,Estimated value
2001-03,6.8674,Estimated value
2001-04,6.8355,Estimated value
2001-05,6.8610,Estimated value
2001-06,6.8674,Estimated value
2001-07,6.8802,Estimated value
2001-08,6.8929,Estimated value
2001-09,6.8929,Estimated value
2001-10,6.8674,Estimated value
2001-11,6.7972,Estimated value
2001-12,6.7908,Estimated value
2002-01,6.7972,Estimated value
2002-02,6.8483,Estimated value
2002-03,6.8355,Estimated value
2002-04,6.8163,Estimated value
2002-05,6.8483,Estimated value
2002-06,6.8483,Estimated value
2002-07,6.8546,Estimated value
2002-08,6.8355,Estimated value
2002-09,6.8674,Estimated value
2002-10,6.8546,Estimated value
2002-11,6.8291,Estimated value
2002-12,6.7908,Estimated value
