"",BBK01.SU1613,BBK01.SU1613_FLAGS
"",Captial disbured / Allocations / Loans under savings and lo an contracts / Total / All building and loan associations,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 10:44:44,
1973-12,0.579,
1974-01,0.507,
1974-02,0.573,
1974-03,0.601,
1974-04,0.657,
1974-05,0.645,
1974-06,0.507,
1974-07,0.549,
1974-08,0.707,
1974-09,0.620,
1974-10,0.691,
1974-11,0.668,
1974-12,0.642,
1975-01,0.460,
1975-02,0.558,
1975-03,0.526,
1975-04,0.606,
1975-05,0.542,
1975-06,0.541,
1975-07,0.574,
1975-08,0.576,
1975-09,0.644,
1975-10,0.623,
1975-11,0.565,
1975-12,0.606,
1976-01,0.480,
1976-02,0.570,
1976-03,0.625,
1976-04,0.516,
1976-05,0.567,
1976-06,0.556,
1976-07,0.490,
1976-08,0.620,
1976-09,0.621,
1976-10,0.671,
1976-11,0.690,
1976-12,0.688,
1977-01,0.464,
1977-02,0.570,
1977-03,0.664,
1977-04,0.627,
1977-05,0.659,
1977-06,0.614,
1977-07,0.554,
1977-08,0.673,
1977-09,0.696,
1977-10,0.707,
1977-11,0.750,
1977-12,0.791,
1978-01,0.552,
1978-02,0.653,
1978-03,0.693,
1978-04,0.692,
1978-05,0.719,
1978-06,0.726,
1978-07,0.647,
1978-08,0.816,
1978-09,0.764,
1978-10,0.822,
1978-11,0.888,
1978-12,0.818,
1979-01,0.704,
1979-02,0.752,
1979-03,0.833,
1979-04,0.774,
1979-05,0.908,
1979-06,0.856,
1979-07,0.773,
1979-08,0.934,
1979-09,0.920,
1979-10,1.009,
1979-11,1.009,
1979-12,0.858,
1980-01,0.779,
1980-02,0.822,
1980-03,0.958,
1980-04,0.894,
1980-05,0.940,
1980-06,0.923,
1980-07,0.967,
1980-08,0.966,
1980-09,1.022,
1980-10,1.103,
1980-11,1.001,
1980-12,1.059,
1981-01,0.872,
1981-02,0.787,
1981-03,1.072,
1981-04,0.823,
1981-05,1.071,
1981-06,0.921,
1981-07,0.915,
1981-08,0.896,
1981-09,1.154,
1981-10,1.079,
1981-11,1.222,
1981-12,1.039,
1982-01,0.804,
1982-02,0.730,
1982-03,1.066,
1982-04,0.822,
1982-05,1.078,
1982-06,0.926,
1982-07,0.845,
1982-08,0.761,
1982-09,0.905,
1982-10,0.825,
1982-11,0.997,
1982-12,0.854,
1983-01,0.722,
1983-02,0.662,
1983-03,1.059,
1983-04,0.743,
1983-05,1.013,
1983-06,0.855,
1983-07,0.604,
1983-08,0.758,
1983-09,0.942,
1983-10,0.814,
1983-11,0.916,
1983-12,0.863,
1984-01,0.888,
1984-02,0.704,
1984-03,1.036,
1984-04,0.817,
1984-05,0.863,
1984-06,0.786,
1984-07,0.731,
1984-08,0.809,
1984-09,1.176,
1984-10,0.913,
1984-11,0.965,
1984-12,0.823,
1985-01,0.769,
1985-02,0.647,
1985-03,0.957,
1985-04,0.803,
1985-05,1.052,
1985-06,0.806,
1985-07,0.763,
1985-08,0.734,
1985-09,0.896,
1985-10,0.780,
1985-11,0.942,
1985-12,0.825,
1986-01,0.790,
1986-02,0.643,
1986-03,0.810,
1986-04,0.698,
1986-05,0.763,
1986-06,0.744,
1986-07,0.879,
1986-08,0.745,
1986-09,0.916,
1986-10,0.791,
1986-11,0.832,
1986-12,0.787,
1987-01,0.789,
1987-02,0.697,
1987-03,1.017,
1987-04,0.736,
1987-05,0.762,
1987-06,0.880,
1987-07,0.796,
1987-08,0.788,
1987-09,0.898,
1987-10,0.831,
1987-11,0.835,
1987-12,0.883,
1988-01,0.794,
1988-02,0.720,
1988-03,0.937,
1988-04,0.743,
1988-05,0.743,
1988-06,0.847,
1988-07,0.780,
1988-08,0.797,
1988-09,0.972,
1988-10,0.781,
1988-11,0.780,
1988-12,0.848,
1989-01,0.672,
1989-02,0.683,
1989-03,0.818,
1989-04,0.765,
1989-05,0.735,
1989-06,0.870,
1989-07,0.724,
1989-08,0.797,
1989-09,0.797,
1989-10,0.720,
1989-11,0.775,
1989-12,0.848,
1990-01,0.772,
1990-02,0.713,
1990-03,0.888,
1990-04,0.785,
1990-05,0.810,
1990-06,0.801,
1990-07,0.927,
1990-08,0.876,
1990-09,0.884,
1990-10,0.923,
1990-11,0.870,
1990-12,0.906,
1991-01,0.741,
1991-02,0.738,
1991-03,0.934,
1991-04,0.961,
1991-05,0.894,
1991-06,0.958,
1991-07,1.038,
1991-08,0.916,
1991-09,0.921,
1991-10,1.043,
1991-11,0.844,
1991-12,0.959,
1992-01,0.960,
1992-02,0.814,
1992-03,0.886,
1992-04,1.032,
1992-05,0.862,
1992-06,0.971,
1992-07,1.085,
1992-08,0.874,
1992-09,0.972,
1992-10,1.086,
1992-11,0.886,
1992-12,1.085,
1993-01,0.853,
1993-02,0.790,
1993-03,1.046,
1993-04,1.047,
1993-05,0.874,
1993-06,1.120,
1993-07,1.067,
1993-08,0.878,
1993-09,1.079,
1993-10,1.010,
1993-11,0.880,
1993-12,1.096,
1994-01,0.880,
1994-02,0.797,
1994-03,0.932,
1994-04,1.047,
1994-05,0.876,
1994-06,0.969,
1994-07,1.014,
1994-08,0.964,
1994-09,0.997,
1994-10,1.035,
1994-11,0.874,
1994-12,1.053,
1995-01,0.915,
1995-02,0.814,
1995-03,0.944,
1995-04,1.085,
1995-05,0.920,
1995-06,0.976,
1995-07,1.066,
1995-08,0.971,
1995-09,0.971,
1995-10,1.095,
1995-11,0.876,
1995-12,0.935,
1996-01,0.921,
1996-02,0.777,
1996-03,0.836,
1996-04,1.133,
1996-05,0.858,
1996-06,0.926,
1996-07,1.146,
1996-08,0.907,
1996-09,0.990,
1996-10,1.147,
1996-11,0.820,
1996-12,0.908,
1997-01,0.946,
1997-02,0.789,
1997-03,0.869,
1997-04,1.256,
1997-05,0.910,
1997-06,1.042,
1997-07,1.079,
1997-08,0.915,
1997-09,1.033,
1997-10,1.101,
1997-11,0.839,
1997-12,1.000,
1998-01,0.997,
1998-02,0.807,
1998-03,1.098,
1998-04,1.138,
1998-05,0.870,
1998-06,0.998,
1998-07,1.202,
1998-08,0.986,
1998-09,1.104,
1998-10,1.043,
1998-11,0.788,
1998-12,0.917,
1999-01,0.782,
1999-02,0.674,
1999-03,0.853,
1999-04,0.835,
1999-05,0.666,
1999-06,0.773,
1999-07,0.799,
1999-08,0.646,
1999-09,0.764,
1999-10,0.826,
1999-11,0.703,
1999-12,0.860,
2000-01,0.948,
2000-02,0.659,
2000-03,0.878,
2000-04,0.976,
2000-05,0.880,
2000-06,0.979,
2000-07,1.075,
2000-08,0.830,
2000-09,0.877,
2000-10,0.996,
2000-11,0.808,
2000-12,0.926,
2001-01,0.973,
2001-02,0.812,
2001-03,1.004,
2001-04,1.104,
2001-05,0.839,
2001-06,0.879,
2001-07,1.090,
2001-08,0.792,
2001-09,0.764,
2001-10,0.992,
2001-11,0.701,
2001-12,0.737,
2002-01,0.812,
2002-02,0.594,
2002-03,0.793,
2002-04,0.957,
2002-05,0.716,
2002-06,0.801,
2002-07,1.012,
2002-08,0.703,
2002-09,0.734,
2002-10,0.857,
2002-11,0.637,
2002-12,0.695,
2003-01,0.725,
2003-02,0.579,
2003-03,0.714,
2003-04,0.885,
2003-05,0.605,
2003-06,0.670,
2003-07,0.807,
2003-08,0.546,
2003-09,0.605,
2003-10,0.772,
2003-11,0.558,
2003-12,0.732,
2004-01,0.663,
2004-02,0.514,
2004-03,0.704,
2004-04,0.912,
2004-05,0.574,
2004-06,0.699,
2004-07,0.856,
2004-08,0.544,
2004-09,0.611,
2004-10,0.711,
2004-11,0.479,
2004-12,0.550,
2005-01,0.569,
2005-02,0.406,
2005-03,0.568,
2005-04,0.768,
2005-05,0.480,
2005-06,0.586,
2005-07,0.726,
2005-08,0.448,
2005-09,0.500,
2005-10,0.553,
2005-11,0.392,
2005-12,0.477,
2006-01,0.499,
2006-02,0.404,
2006-03,0.581,
2006-04,0.648,
2006-05,0.518,
2006-06,0.596,
2006-07,0.665,
2006-08,0.560,
2006-09,0.579,
2006-10,0.645,
2006-11,0.549,
2006-12,0.581,
2007-01,0.590,
2007-02,0.534,
2007-03,0.659,
2007-04,0.803,
2007-05,0.681,
2007-06,0.684,
2007-07,0.853,
2007-08,0.724,
2007-09,0.702,
2007-10,0.820,
2007-11,0.678,
2007-12,0.631,
2008-01,0.710,
2008-02,0.683,
2008-03,0.736,
2008-04,0.954,
2008-05,0.783,
2008-06,0.858,
2008-07,1.060,
2008-08,0.822,
