"",BBFB1.M.N.DE.W1.S1P.S1.T.L.FA.P.F._Z._T._X.N,BBFB1.M.N.DE.W1.S1P.S1.T.L.FA.P.F._Z._T._X.N_FLAGS
"",Liabilities (Net Incurrence of) / Financial account / Total financial assets/liabilities / Rest of the World / Other sectors than MFIs and general government / Portfolio investment,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:52:44,
1991-01,17.600,
1991-02,-11.240,
1991-03,45.269,
1991-04,1.893,
1991-05,538.391,
1991-06,294.941,
1991-07,255.081,
1991-08,565.956,
1991-09,344.614,
1991-10,365.960,
1991-11,6.967,
1991-12,-137.277,
1992-01,161.337,
1992-02,-228.649,
1992-03,66.729,
1992-04,100.553,
1992-05,269.624,
1992-06,-312.568,
1992-07,311.315,
1992-08,82.883,
1992-09,-309.155,
1992-10,878.272,
1992-11,157.053,
1992-12,144.613,
1993-01,-494.263,
1993-02,-133.095,
1993-03,450.039,
1993-04,937.365,
1993-05,489.250,
1993-06,139.366,
1993-07,54.477,
1993-08,-179.004,
1993-09,-125.639,
1993-10,450.122,
1993-11,742.572,
1993-12,-76.133,
1994-01,77.827,
1994-02,290.715,
1994-03,229.050,
1994-04,412.344,
1994-05,233.840,
1994-06,312.136,
1994-07,431.548,
1994-08,235.369,
1994-09,-389.333,
1994-10,-112.900,
1994-11,-441.493,
1994-12,-769.335,
1995-01,-0.695,
1995-02,24.034,
1995-03,-310.879,
1995-04,-182.076,
1995-05,-588.049,
1995-06,-1000.874,
1995-07,-168.695,
1995-08,-351.756,
1995-09,-526.034,
1995-10,-175.547,
1995-11,-146.210,
1995-12,-1024.518,
1996-01,-131.724,
1996-02,-105.789,
1996-03,-224.564,
1996-04,648.079,
1996-05,-801.910,
1996-06,-941.843,
1996-07,1197.302,
1996-08,440.371,
1996-09,-91.749,
1996-10,-83.813,
1996-11,519.092,
1996-12,-482.948,
1997-01,1163.146,
1997-02,385.824,
1997-03,-1458.565,
1997-04,-752.356,
1997-05,1425.201,
1997-06,4232.651,
1997-07,1866.006,
1997-08,445.987,
1997-09,1238.014,
1997-10,-157.468,
1997-11,-1913.462,
1997-12,-2112.970,
1998-01,996.225,
1998-02,1193.081,
1998-03,-4727.947,
1998-04,6528.419,
1998-05,2677.721,
1998-06,12124.742,
1998-07,2726.641,
1998-08,87.208,
1998-09,794.379,
1998-10,-2520.305,
1998-11,24804.611,
1998-12,1028.536,
1999-01,2518.742,
1999-02,2490.533,
1999-03,-18139.863,
1999-04,-560.472,
1999-05,1176.427,
1999-06,16648.996,
1999-07,3247.198,
1999-08,2265.800,
1999-09,4227.548,
1999-10,2283.606,
1999-11,4401.140,
1999-12,5743.416,
2000-01,11347.683,
2000-02,-96184.419,
2000-03,-6117.527,
2000-04,1001.572,
2000-05,2676.870,
2000-06,38590.438,
2000-07,1925.270,
2000-08,48.325,
2000-09,1695.088,
2000-10,1052.705,
2000-11,4077.388,
2000-12,-1834.215,
2001-01,-208.607,
2001-02,-644.953,
2001-03,-368.193,
2001-04,1600.348,
2001-05,39668.207,
2001-06,21318.950,
2001-07,9854.563,
2001-08,3815.443,
2001-09,2217.159,
2001-10,1840.273,
2001-11,1064.796,
2001-12,-193.769,
2002-01,3980.203,
2002-02,-189.610,
2002-03,3491.129,
2002-04,-8208.442,
2002-05,8741.289,
2002-06,5277.594,
2002-07,-1250.574,
2002-08,-193.403,
2002-09,-1868.222,
2002-10,842.407,
2002-11,3728.621,
2002-12,-1414.624,
2003-01,3237.065,
2003-02,9.710,
2003-03,2840.718,
2003-04,1532.141,
2003-05,-2247.304,
2003-06,8692.597,
2003-07,-4161.371,
2003-08,2426.487,
2003-09,-2708.091,
2003-10,13196.106,
2003-11,1131.743,
2003-12,-974.435,
2004-01,-5082.916,
2004-02,7900.076,
2004-03,-6552.914,
2004-04,-21287.784,
2004-05,-3664.420,
2004-06,13260.665,
2004-07,2994.730,
2004-08,1352.169,
2004-09,2549.093,
2004-10,477.328,
2004-11,5436.828,
2004-12,-3132.292,
2005-01,-4261.202,
2005-02,4883.381,
2005-03,1230.825,
2005-04,-42542.311,
2005-05,20673.435,
2005-06,28153.640,
2005-07,5591.953,
2005-08,-1473.431,
2005-09,4578.600,
2005-10,181.314,
2005-11,4612.233,
2005-12,2413.392,
2006-01,-9341.297,
2006-02,14019.154,
2006-03,2801.015,
2006-04,-26330.557,
2006-05,7268.027,
2006-06,25705.387,
2006-07,1414.407,
2006-08,7103.726,
2006-09,-2272.874,
2006-10,11286.478,
2006-11,5257.236,
2006-12,-5049.093,
2007-01,-2425.867,
2007-02,19663.097,
2007-03,1373.589,
2007-04,-22204.314,
2007-05,19999.984,
2007-06,38732.453,
2007-07,5993.600,
2007-08,7669.420,
2007-09,-3298.553,
2007-10,3630.508,
2007-11,2054.283,
2007-12,1905.152,
2008-01,-16337.218,
2008-02,16031.374,
2008-03,-9756.344,
2008-04,-34077.392,
2008-05,14427.781,
2008-06,14584.345,
2008-07,3560.432,
2008-08,2121.146,
2008-09,-2284.373,
2008-10,4298.982,
2008-11,5609.215,
2008-12,-8844.788,
2009-01,-25733.762,
2009-02,7495.128,
2009-03,-11542.597,
2009-04,-10900.498,
2009-05,15946.835,
2009-06,-9523.122,
2009-07,7064.404,
2009-08,5376.365,
2009-09,9442.827,
2009-10,5451.749,
2009-11,741.249,
2009-12,-9753.793,
2010-01,1121.735,
2010-02,4955.843,
2010-03,5270.758,
2010-04,-20370.809,
2010-05,29032.212,
2010-06,4546.622,
2010-07,6575.822,
2010-08,4273.576,
2010-09,1987.648,
2010-10,2836.787,
2010-11,5038.843,
2010-12,-7987.346,
2011-01,2429.545,
2011-02,16336.333,
2011-03,-7689.760,
2011-04,-20462.754,
2011-05,28315.382,
2011-06,-4601.243,
2011-07,4387.364,
2011-08,1203.443,
2011-09,-7771.647,
2011-10,-8356.455,
2011-11,-7699.762,
2011-12,-11025.811,
2012-01,-5546.113,
2012-02,3352.411,
2012-03,-10067.032,
2012-04,-17569.689,
2012-05,25500.853,
2012-06,2251.175,
2012-07,3400.907,
2012-08,-2282.191,
2012-09,-1362.067,
2012-10,133.368,
2012-11,3376.005,
2012-12,-4298.169,
2013-01,-9396.501,
2013-02,5343.256,
2013-03,862.889,
2013-04,-18385.021,
2013-05,20351.880,
2013-06,-8440.699,
2013-07,2433.582,
2013-08,-1203.697,
2013-09,247.759,
2013-10,-1837.195,
2013-11,8354.604,
2013-12,177.523,
2014-01,-3127.427,
2014-02,9462.608,Provisional value
2014-03,-7958.454,Provisional value
2014-04,-5146.100,Provisional value
2014-05,12180.932,Provisional value
2014-06,5076.899,Provisional value
2014-07,402.008,Provisional value
2014-08,1448.859,Provisional value
2014-09,1952.807,
2014-10,1398.227,
2014-11,2215.265,
2014-12,-2090.437,Provisional value
