"",BBDE1.M.DE.W.AEB5.A2P340000.F.V.I10.A,BBDE1.M.DE.W.AEB5.A2P340000.F.V.I10.A_FLAGS
"",Orders received from abroad / At current prices / Germany / Non-durable goods / Calendar adjusted only,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:18,
1991-01,35.9,
1991-02,52.4,
1991-03,56.5,
1991-04,36.2,
1991-05,36.1,
1991-06,34.5,
1991-07,40.6,
1991-08,47.8,
1991-09,53.3,
1991-10,39.2,
1991-11,41.3,
1991-12,32.8,
1992-01,40.6,
1992-02,56.0,
1992-03,57.8,
1992-04,37.1,
1992-05,36.4,
1992-06,37.5,
1992-07,36.4,
1992-08,46.1,
1992-09,49.7,
1992-10,36.2,
1992-11,37.1,
1992-12,29.0,
1993-01,38.5,
1993-02,51.5,
1993-03,52.9,
1993-04,34.7,
1993-05,34.8,
1993-06,31.9,
1993-07,36.5,
1993-08,46.6,
1993-09,45.3,
1993-10,36.3,
1993-11,37.6,
1993-12,29.3,
1994-01,41.7,
1994-02,54.3,
1994-03,58.6,
1994-04,37.9,
1994-05,34.8,
1994-06,39.1,
1994-07,40.2,
1994-08,46.2,
1994-09,56.0,
1994-10,41.8,
1994-11,36.9,
1994-12,38.3,
1995-01,46.8,
1995-02,56.7,
1995-03,62.2,
1995-04,45.3,
1995-05,41.6,
1995-06,48.5,
1995-07,48.1,
1995-08,52.9,
1995-09,61.1,
1995-10,51.1,
1995-11,41.4,
1995-12,43.0,
1996-01,48.6,
1996-02,58.3,
1996-03,70.1,
1996-04,46.9,
1996-05,45.3,
1996-06,50.6,
1996-07,50.5,
1996-08,53.9,
1996-09,62.5,
1996-10,48.5,
1996-11,44.1,
1996-12,47.4,
1997-01,51.1,
1997-02,64.7,
1997-03,74.6,
1997-04,54.1,
1997-05,46.4,
1997-06,56.0,
1997-07,55.9,
1997-08,58.7,
1997-09,71.9,
1997-10,54.5,
1997-11,48.6,
1997-12,57.8,
1998-01,57.9,
1998-02,68.6,
1998-03,75.3,
1998-04,51.3,
1998-05,47.3,
1998-06,60.0,
1998-07,57.8,
1998-08,64.5,
1998-09,68.6,
1998-10,51.8,
1998-11,45.9,
1998-12,46.9,
1999-01,58.6,
1999-02,69.9,
1999-03,69.3,
1999-04,59.9,
1999-05,56.1,
1999-06,52.3,
1999-07,65.7,
1999-08,69.4,
1999-09,66.7,
1999-10,56.4,
1999-11,56.1,
1999-12,50.2,
2000-01,62.5,
2000-02,75.2,
2000-03,78.7,
2000-04,57.5,
2000-05,53.2,
2000-06,63.3,
2000-07,67.5,
2000-08,72.0,
2000-09,79.7,
2000-10,65.8,
2000-11,60.2,
2000-12,63.1,
2001-01,72.7,
2001-02,81.8,
2001-03,83.5,
2001-04,65.5,
2001-05,58.9,
2001-06,72.4,
2001-07,78.1,
2001-08,82.5,
2001-09,75.6,
2001-10,71.5,
2001-11,63.7,
2001-12,62.4,
2002-01,77.3,
2002-02,83.6,
2002-03,91.8,
2002-04,70.4,
2002-05,62.0,
2002-06,68.8,
2002-07,81.1,
2002-08,80.6,
2002-09,84.7,
2002-10,66.8,
2002-11,73.8,
2002-12,63.3,
2003-01,80.0,
2003-02,92.6,
2003-03,86.7,
2003-04,71.6,
2003-05,68.1,
2003-06,71.9,
2003-07,78.6,
2003-08,83.5,
2003-09,78.1,
2003-10,79.0,
2003-11,68.6,
2003-12,68.7,
2004-01,79.1,
2004-02,91.2,
2004-03,88.5,
2004-04,77.1,
2004-05,72.2,
2004-06,72.3,
2004-07,87.4,
2004-08,85.1,
2004-09,82.9,
2004-10,77.6,
2004-11,76.9,
2004-12,72.8,
2005-01,90.3,
2005-02,99.4,
2005-03,96.2,
2005-04,80.3,
2005-05,78.5,
2005-06,82.0,
2005-07,96.5,
2005-08,93.4,
2005-09,89.2,
2005-10,86.5,
2005-11,84.6,
2005-12,80.5,
2006-01,92.6,
2006-02,100.9,
2006-03,100.8,
2006-04,88.4,
2006-05,87.1,
2006-06,88.3,
2006-07,105.8,
2006-08,103.4,
2006-09,97.8,
