"",BBK01.OXA8A2,BBK01.OXA8A2_FLAGS
"",Loans (including bills of exchange) to domestic enter prises and households - Total - All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:14:39,
1999-01,1979.958,
1999-02,1986.920,
1999-03,1992.644,
1999-04,1999.073,
1999-05,2006.381,
1999-06,2027.287,
1999-07,2032.215,
1999-08,2038.344,
1999-09,2052.050,
1999-10,2060.325,
1999-11,2073.741,
1999-12,2093.448,
2000-01,2098.481,
2000-02,2106.726,
2000-03,2118.085,
2000-04,2128.730,
2000-05,2136.745,
2000-06,2143.572,
2000-07,2142.616,
2000-08,2151.674,
2000-09,2169.174,
2000-10,2173.869,
2000-11,2181.186,
2000-12,2186.596,
2001-01,2187.593,
2001-02,2197.999,
2001-03,2204.158,
2001-04,2202.273,
2001-05,2210.538,
2001-06,2212.825,
2001-07,2206.799,
2001-08,2207.242,
2001-09,2218.655,
2001-10,2219.624,
2001-11,2226.573,
2001-12,2235.742,
2002-01,2225.473,
2002-02,2227.308,
2002-03,2230.314,
2002-04,2231.626,
2002-05,2232.009,
2002-06,2233.242,
2002-07,2231.575,
2002-08,2231.549,
2002-09,2242.274,
2002-10,2240.641,
2002-11,2238.421,
2002-12,2240.772,
2003-01,2237.930,
2003-02,2239.239,
2003-03,2237.490,
2003-04,2234.590,
2003-05,2232.049,
2003-06,2239.728,
2003-07,2231.098,
2003-08,2231.438,
2003-09,2245.160,
2003-10,2242.888,
2003-11,2246.863,
2003-12,2241.167,
2004-01,2230.447,
2004-02,2230.194,
2004-03,2228.865,
2004-04,2230.394,
2004-05,2229.746,
2004-06,2229.354,
2004-07,2225.123,
2004-08,2221.802,
2004-09,2229.581,
2004-10,2226.821,
2004-11,2233.744,
2004-12,2223.768,
2005-01,2216.812,
2005-02,2219.880,
2005-03,2216.595,
2005-04,2217.478,
2005-05,2220.612,
2005-06,2222.779,
2005-07,2224.384,
2005-08,2225.266,
2005-09,2238.301,
2005-10,2244.543,
2005-11,2240.317,
2005-12,2226.312,
2006-01,2251.530,
2006-02,2255.521,
2006-03,2258.384,
2006-04,2264.891,
2006-05,2264.471,
2006-06,2265.186,
2006-07,2261.131,
2006-08,2263.225,
2006-09,2280.741,
2006-10,2272.281,
2006-11,2268.358,
2006-12,2241.943,
2007-01,2252.725,
2007-02,2256.217,
2007-03,2261.263,
2007-04,2256.892,
2007-05,2253.118,
2007-06,2261.738,
2007-07,2265.852,
2007-08,2271.601,
2007-09,2278.548,
2007-10,2278.404,
2007-11,2279.618,
2007-12,2288.754,
2008-01,2297.337,
2008-02,2306.519,
2008-03,2316.364,
2008-04,2323.236,
2008-05,2326.684,
2008-06,2333.651,
2008-07,2341.639,
2008-08,2344.169,
2008-09,2354.790,
2008-10,2357.723,
2008-11,2362.395,
2008-12,2357.301,
2009-01,2375.657,
2009-02,2368.276,
2009-03,2383.370,
2009-04,2385.479,
2009-05,2384.740,
2009-06,2388.322,
2009-07,2372.379,
2009-08,2361.620,
2009-09,2375.434,
2009-10,2365.472,
2009-11,2372.502,
2009-12,2357.491,
2010-01,2354.158,
2010-02,2350.802,
2010-03,2346.975,
2010-04,2360.189,
2010-05,2364.594,
2010-06,2367.974,
2010-07,2364.543,
2010-08,2373.204,
2010-09,2353.852,
2010-10,2360.453,
2010-11,2389.267,
2010-12,2352.809,
2011-01,2356.675,
2011-02,2377.449,
2011-03,2358.658,
2011-04,2360.895,
2011-05,2376.493,
2011-06,2374.856,
2011-07,2379.154,
2011-08,2403.319,
2011-09,2413.682,
2011-10,2445.330,
2011-11,2450.039,
2011-12,2415.618,
2012-01,2437.067,
2012-02,2436.962,
2012-03,2427.751,
2012-04,2430.879,
2012-05,2434.019,
2012-06,2432.356,
2012-07,2467.217,
2012-08,2464.932,
2012-09,2458.562,
2012-10,2471.495,
2012-11,2465.517,
2012-12,2435.829,
2013-01,2454.328,
2013-02,2457.604,
2013-03,2451.001,
2013-04,2446.625,
2013-05,2451.591,
2013-06,2464.138,
2013-07,2449.836,
2013-08,2351.745,
2013-09,2352.342,
2013-10,2351.614,
2013-11,2356.109,
2013-12,2353.957,
2014-01,2351.314,
2014-02,2354.588,
2014-03,2356.269,
2014-04,2359.799,
2014-05,2364.876,
2014-06,2367.094,
2014-07,2366.538,
2014-08,2372.416,
2014-09,2380.507,
2014-10,2378.834,
2014-11,2389.217,
2014-12,2384.733,Provisional value
