"",BBK01.OECI08R,BBK01.OECI08R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:10,
2002-01,0.214,
2002-04,0.158,
2002-07,0.159,
2002-10,0.174,
2003-01,0.172,
2003-04,0.163,
2003-07,0.171,
2003-10,0.169,
2004-01,0.159,
2004-04,0.153,
2004-07,0.179,
2004-10,0.304,
2005-01,0.869,
2005-04,0.863,
2005-07,0.857,
2005-10,0.856,
2006-01,0.850,
2006-04,0.834,
2006-07,0.820,
2006-10,0.808,
2007-01,0.804,
2007-04,0.787,
2007-07,0.772,
2007-10,0.780,
2008-01,0.767,
2008-04,0.782,
2008-07,0.761,
2008-10,0.744,
2009-01,0.762,
2009-04,0.777,
2009-07,0.812,
2009-10,0.850,
2010-01,0.871,
2010-04,0.871,
2010-07,0.882,
2010-10,0.890,
2011-01,0.880,
2011-04,0.865,
2011-07,0.857,
2011-10,0.865,
2012-01,0.928,
2012-04,0.912,
2012-07,0.923,
2012-10,0.950,
2013-01,0.947,
2013-04,0.940,
2013-07,0.937,
2013-10,0.941,
2014-01,0.935,
2014-04,0.925,
2014-07,0.944,
