"",BBK01.OEXB07J,BBK01.OEXB07J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:20,
2002-01,0.450,
2002-04,0.425,
2002-07,0.368,
2002-10,0.351,
2003-01,0.334,
2003-04,0.329,
2003-07,0.348,
2003-10,0.342,
2004-01,0.334,
2004-04,0.331,
2004-07,0.317,
2004-10,0.302,
2005-01,0.285,
2005-04,0.288,
2005-07,0.283,
2005-10,0.269,
2006-01,0.262,
2006-04,0.263,
2006-07,0.286,
2006-10,0.280,
2007-01,0.315,
2007-04,0.335,
2007-07,0.340,
2007-10,0.353,
2008-01,0.354,
2008-04,0.356,
2008-07,0.354,
2008-10,0.368,
2009-01,0.377,
2009-04,0.373,
2009-07,0.374,
2009-10,0.376,
2010-01,0.372,
2010-04,0.353,
2010-07,0.326,
2010-10,0.328,
2011-01,0.314,
2011-04,0.312,
2011-07,0.329,
2011-10,0.312,
2012-01,0.298,
2012-04,0.292,
2012-07,0.253,
2012-10,0.263,
2013-01,0.255,
2013-04,0.243,
2013-07,0.251,
2013-10,0.269,
2014-01,0.259,
2014-04,0.271,
2014-07,0.276,
