"",BBFN1.M.DE.N.1.L.AT.S1P.F0.L.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.AT.S1P.F0.L.B000.Z01.BGA.X001.D_FLAGS
2008-02,1.940,
2008-03,1.964,
2008-04,2.051,
2008-05,2.096,
2008-06,2.188,
2008-07,2.118,
2008-08,2.044,
2008-09,2.122,
2008-10,2.121,
2008-11,2.195,
2008-12,2.159,
2009-01,2.150,
2009-02,2.160,
2009-03,2.232,
2009-04,2.309,
2009-05,2.322,
2009-06,2.365,
2009-07,2.541,
2009-08,2.635,
2009-09,2.633,
2009-10,2.624,
2009-11,2.658,
2009-12,2.798,
2010-01,3.281,
2010-02,3.326,
2010-03,3.393,
2010-04,3.419,
2010-05,3.519,
2010-06,3.504,
2010-07,3.583,
2010-08,3.564,
2010-09,3.585,
2010-10,3.577,
2010-11,3.732,
2010-12,3.705,
2011-01,3.712,
2011-02,3.710,
2011-03,3.671,
2011-04,3.625,
2011-05,3.624,
2011-06,3.591,
2011-07,3.541,
2011-08,3.612,
2011-09,3.480,
2011-10,3.448,
2011-11,3.541,
2011-12,3.617,
2012-01,3.505,
2012-02,3.599,
2012-03,3.637,
2012-04,3.700,
2012-05,3.697,
2012-06,3.575,
2012-07,3.360,
2012-08,3.384,
2012-09,3.315,
2012-10,3.365,
2012-11,3.327,
2012-12,3.236,
2013-01,3.201,
2013-02,3.274,
2013-03,3.275,
2013-04,3.357,
2013-05,3.431,
2013-06,3.031,
2013-07,2.929,
2013-08,2.939,
2013-09,2.866,
2013-10,2.953,
2013-11,2.948,
2013-12,2.932,
2014-01,2.852,
2014-02,2.711,
2014-03,2.614,
2014-04,2.533,
2014-05,2.509,
2014-06,2.534,
2014-07,2.613,
2014-08,2.587,
2014-09,2.907,
2014-10,2.908,
2014-11,2.902,
2014-12,2.729,
