"",BBK01.OEAD10H,BBK01.OEAD10H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:45,
2002-01,5.296,
2002-04,5.211,
2002-07,5.117,
2002-10,5.101,
2003-01,4.915,
2003-04,4.698,
2003-07,4.602,
2003-10,4.734,
2004-01,4.597,
2004-04,4.542,
2004-07,4.567,
2004-10,4.309,
2005-01,4.194,
2005-04,4.066,
2005-07,3.976,
2005-10,3.878,
2006-01,3.831,
2006-04,3.775,
2006-07,3.741,
2006-10,3.748,
2007-01,3.771,
2007-04,3.697,
2007-07,3.734,
2007-10,3.810,
2008-01,3.749,
2008-04,3.759,
2008-07,3.636,
2008-10,3.581,
2009-01,3.609,
2009-04,3.444,
2009-07,3.328,
2009-10,3.259,
2010-01,3.185,
2010-04,3.384,
2010-07,3.416,
2010-10,3.334,
2011-01,3.341,
2011-04,3.472,
2011-07,3.412,
2011-10,3.394,
2012-01,3.352,
2012-04,3.323,
2012-07,3.401,
2012-10,3.311,
2013-01,3.269,
2013-04,3.261,
2013-07,3.261,
2013-10,3.152,
2014-01,3.097,
2014-04,3.082,
2014-07,3.145,
