"",BBK01.OEHB07L,BBK01.OEHB07L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:46,
2002-01,3.561,
2002-04,3.884,
2002-07,3.795,
2002-10,4.507,
2003-01,4.143,
2003-04,3.823,
2003-07,3.732,
2003-10,4.038,
2004-01,3.907,
2004-04,3.767,
2004-07,3.784,
2004-10,3.505,
2005-01,3.252,
2005-04,3.091,
2005-07,3.010,
2005-10,3.264,
2006-01,3.233,
2006-04,3.179,
2006-07,3.072,
2006-10,3.094,
2007-01,2.901,
2007-04,2.871,
2007-07,3.004,
2007-10,2.892,
2008-01,2.880,
2008-04,2.916,
2008-07,2.977,
2008-10,3.091,
2009-01,3.118,
2009-04,3.092,
2009-07,3.224,
2009-10,3.149,
2010-01,2.988,
2010-04,3.133,
2010-07,3.151,
2010-10,3.169,
2011-01,3.172,
2011-04,3.148,
2011-07,3.234,
2011-10,3.325,
2012-01,3.340,
2012-04,3.371,
2012-07,3.432,
2012-10,3.449,
2013-01,3.388,
2013-04,3.370,
2013-07,3.415,
2013-10,3.309,
2014-01,3.211,
2014-04,3.075,
2014-07,3.072,
