"",BBFB1.Q.N.DE.PT.S1.S1.T.C.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.PT.S1.S1.T.C.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Receipts / Portugal,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:29:30,
1991-01,56.405,
1991-04,70.880,
1991-07,73.423,
1991-10,81.026,
1992-01,76.297,
1992-04,79.609,
1992-07,76.872,
1992-10,81.732,
1993-01,72.855,
1993-04,85.867,
1993-07,87.524,
1993-10,95.713,
1994-01,63.057,
1994-04,51.040,
1994-07,70.329,
1994-10,79.030,
1995-01,90.709,
1995-04,87.286,
1995-07,107.870,
1995-10,85.458,
1996-01,131.218,
1996-04,109.760,
1996-07,95.458,
1996-10,99.742,
1997-01,121.031,
1997-04,144.223,
1997-07,155.600,
1997-10,152.108,
1998-01,122.776,
1998-04,142.912,
1998-07,153.948,
1998-10,147.902,
1999-01,265.321,
1999-04,331.771,
1999-07,362.905,
1999-10,392.039,
2000-01,538.983,
2000-04,443.300,
2000-07,417.456,
2000-10,442.060,
2001-01,324.085,
2001-04,278.700,
2001-07,299.083,
2001-10,319.841,
2002-01,385.638,
2002-04,373.972,
2002-07,400.041,
2002-10,409.573,
2003-01,388.261,
2003-04,416.187,
2003-07,355.594,
2003-10,343.717,
2004-01,400.364,
2004-04,407.077,
2004-07,422.809,
2004-10,439.990,
2005-01,409.045,
2005-04,445.146,
2005-07,466.359,
2005-10,482.462,
2006-01,519.103,
2006-04,582.306,
2006-07,556.323,
2006-10,594.365,
2007-01,717.861,
2007-04,760.553,
2007-07,784.903,
2007-10,753.916,
2008-01,710.500,
2008-04,678.196,
2008-07,591.954,
2008-10,543.451,
2009-01,539.074,
2009-04,536.443,
2009-07,611.380,
2009-10,616.958,
2010-01,615.464,
2010-04,611.991,
2010-07,520.385,
2010-10,538.217,
2011-01,532.294,
2011-04,561.987,
2011-07,494.157,
2011-10,470.081,
2012-01,444.670,
2012-04,452.233,
2012-07,410.706,
2012-10,412.810,
2013-01,487.536,
2013-04,490.605,
2013-07,462.615,
2013-10,462.080,
2014-01,445.360,Provisional value
2014-04,472.643,Provisional value
2014-07,454.374,Provisional value
