"",BBK01.OEYI02H,BBK01.OEYI02H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:41,
2002-01,5.379,
2002-04,4.695,
2002-07,4.232,
2002-10,4.627,
2003-01,5.698,
2003-04,6.505,
2003-07,5.144,
2003-10,4.662,
2004-01,4.967,
2004-04,5.083,
2004-07,3.467,
2004-10,3.591,
2005-01,3.862,
2005-04,4.692,
2005-07,3.805,
2005-10,4.204,
2006-01,4.628,
2006-04,4.704,
2006-07,9.168,
2006-10,6.916,
2007-01,7.713,
2007-04,7.855,
2007-07,7.215,
2007-10,4.446,
2008-01,5.768,
2008-04,6.711,
2008-07,4.960,
2008-10,4.111,
2009-01,4.733,
2009-04,5.954,
2009-07,3.784,
2009-10,7.176,
2010-01,5.496,
2010-04,5.144,
2010-07,5.228,
2010-10,7.426,
2011-01,12.611,
2011-04,8.485,
2011-07,14.392,
2011-10,6.819,
2012-01,9.382,
2012-04,12.909,
2012-07,11.082,
2012-10,9.262,
2013-01,12.203,
2013-04,13.091,
2013-07,8.538,
2013-10,8.337,
2014-01,10.597,
2014-04,10.742,
2014-07,10.257,
