"",BBBP1.A.DE.N.GZ.P010.X.X.Z5.0000.Z0Z.KP,BBBP1.A.DE.N.GZ.P010.X.X.Z5.0000.Z0Z.KP_FLAGS
"",,
unit,Prozent (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-30 12:31:50,
1968,1.05,
1969,1.04,
1970,0.84,
1971,1.05,
1972,1.19,
1973,0.86,
1974,1.01,
1975,1.47,
1976,1.23,
1977,1.04,
1978,1.03,
1979,0.76,
1980,0.73,
1981,0.94,
1982,1.36,
1983,1.57,
1984,1.33,
1985,1.15,
1986,1.18,
1987,1.13,
1988,1.01,
1989,0.70,
1990,0.66,
1991,0.56,
1992,0.78,
1993,0.92,
1994,1.29,comment
1995,0.89,
1996,0.76,
1997,0.72,
1998,0.76,
1999,0.60,
2000,0.78,
2001,0.62,
2002,0.66,
2003,0.46,
2004,0.49,
2005,0.47,
2006,0.43,
2007,0.50,
2008,0.58,
2009,0.45,
2010,0.48,
2011,0.45,
2012,0.48,
2013,0.52,Provisional value
