"",BBK01.OXA8S3,BBK01.OXA8S3_FLAGS
"",Net total of loans (including bills of exchange) sold to/ bought from non-MFIs during the reporting period of which: off-balance true sale of domestic banks (MFIs) - All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:47,
2009-12,-,Nothing exists
2010-01,1.038,
2010-02,-,Nothing exists
2010-03,-0.225,
2010-04,-,Nothing exists
2010-05,0.082,
2010-06,-0.253,
2010-07,1.032,
2010-08,-0.863,
2010-09,-0.284,
2010-10,10.613,
2010-11,0.385,
2010-12,-1.221,
2011-01,-0.901,
2011-02,0.383,
2011-03,-0.913,
2011-04,-0.051,
2011-05,-0.508,
2011-06,0.049,
2011-07,1.230,
2011-08,-0.776,
2011-09,-1.851,
2011-10,-1.088,
2011-11,-1.599,
2011-12,-1.133,
2012-01,-0.877,
2012-02,-0.106,
2012-03,-0.324,
2012-04,-0.596,
2012-05,-1.073,
2012-06,-0.085,
2012-07,-1.171,
2012-08,-0.101,
2012-09,-1.697,
2012-10,-0.032,
2012-11,-2.359,
2012-12,-1.830,
2013-01,-1.781,
2013-02,-0.558,
2013-03,-1.008,
2013-04,-1.460,
2013-05,-2.035,
2013-06,-1.254,
2013-07,-1.144,
2013-08,-3.237,
2013-09,-1.920,
2013-10,-2.377,
2013-11,-1.610,
2013-12,-1.996,
2014-01,-1.786,
2014-02,-0.689,
2014-03,-1.257,
2014-04,-1.163,
2014-05,-0.398,
2014-06,-1.339,
2014-07,-2.472,
2014-08,-1.746,
2014-09,-2.878,
2014-10,-1.323,
2014-11,0.300,
2014-12,-0.898,Provisional value
