"",BBK01.OEHM01T,BBK01.OEHM01T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:41:28,
2002-01,0.558,
2002-04,0.519,
2002-07,0.498,
2002-10,0.562,
2003-01,0.502,
2003-04,0.401,
2003-07,0.380,
2003-10,0.425,
2004-01,0.428,
2004-04,0.357,
2004-07,0.362,
2004-10,0.397,
2005-01,0.395,
2005-04,0.389,
2005-07,0.381,
2005-10,0.434,
2006-01,0.406,
2006-04,0.406,
2006-07,0.441,
2006-10,0.535,
2007-01,0.511,
2007-04,0.473,
2007-07,0.463,
2007-10,0.477,
2008-01,0.509,
2008-04,0.471,
2008-07,0.463,
2008-10,0.455,
2009-01,0.415,
2009-04,0.441,
2009-07,0.421,
2009-10,0.454,
2010-01,0.342,
2010-04,0.399,
2010-07,0.350,
2010-10,0.379,
2011-01,0.319,
2011-04,0.312,
2011-07,0.330,
2011-10,0.446,
2012-01,0.340,
2012-04,0.367,
2012-07,0.345,
2012-10,0.383,
2013-01,0.383,
2013-04,0.438,
2013-07,0.387,
2013-10,0.435,
2014-01,0.402,
2014-04,0.419,
2014-07,0.340,
