"",BBFN1.M.DE.N.1.L.GB.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.GB.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / United Kingdom,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:16:04,
1994-12,20.912,
1995-01,20.321,
1995-02,19.331,
1995-03,20.941,
1995-04,20.227,
1995-05,20.810,
1995-06,20.693,
1995-07,20.868,
1995-08,20.578,
1995-09,20.687,
1995-10,21.097,
1995-11,20.988,
1995-12,19.723,
1996-01,19.512,
1996-02,19.901,
1996-03,20.600,
1996-04,21.207,
1996-05,25.117,
1996-06,21.765,
1996-07,21.730,
1996-08,21.791,
1996-09,22.681,
1996-10,23.624,
1996-11,22.497,
1996-12,22.318,
1997-01,23.492,
1997-02,24.177,
1997-03,24.105,
1997-04,25.636,
1997-05,24.747,
1997-06,26.098,
1997-07,27.399,
1997-08,24.554,
1997-09,24.275,
1997-10,26.642,
1997-11,25.993,
1997-12,25.642,
1998-01,23.940,
1998-02,24.418,
1998-03,26.716,
1998-04,32.049,
1998-05,32.434,
1998-06,30.975,
1998-07,29.142,
1998-08,29.559,
1998-09,28.530,
1998-10,31.211,
1998-11,30.928,
1998-12,28.332,
1999-01,27.890,
1999-02,27.743,
1999-03,30.552,
1999-04,30.762,
1999-05,30.868,
1999-06,32.620,
1999-07,32.820,
1999-08,34.198,
1999-09,34.651,
1999-10,35.936,
1999-11,38.270,
1999-12,37.240,
2000-01,39.141,
2000-02,47.117,
2000-03,46.712,
2000-04,51.199,
2000-05,62.111,
2000-06,65.080,
2000-07,57.319,
2000-08,62.545,
2000-09,71.025,
2000-10,75.597,
2000-11,72.103,
2000-12,68.183,
2001-01,76.358,
2001-02,79.872,
2001-03,70.687,
2001-04,72.711,
2001-05,67.556,
2001-06,64.255,
2001-07,68.678,
2001-08,73.362,
2001-09,71.047,
2001-10,74.767,
2001-11,68.643,
2001-12,69.902,
2002-01,69.319,
2002-02,72.515,
2002-03,75.590,
2002-04,77.081,
2002-05,68.358,
2002-06,64.773,
2002-07,61.008,
2002-08,60.980,
2002-09,62.964,
2002-10,64.020,
2002-11,62.806,
2002-12,62.926,
2003-01,64.213,
2003-02,63.620,
2003-03,67.157,
2003-04,70.894,
2003-05,68.120,
2003-06,69.623,
2003-07,70.747,
2003-08,71.567,
2003-09,71.020,
2003-10,61.021,
2003-11,60.863,
2003-12,65.267,
2004-01,63.175,
2004-02,71.686,
2004-03,57.340,
2004-04,56.798,
2004-05,56.940,
2004-06,55.506,
2004-07,54.474,
2004-08,54.530,
2004-09,54.714,
2004-10,54.243,
2004-11,53.169,
2004-12,53.974,
2005-01,50.064,
2005-02,52.511,
2005-03,52.490,
2005-04,47.844,
2005-05,45.992,
2005-06,47.721,
2005-07,49.875,
2005-08,53.075,
2005-09,57.835,
2005-10,57.014,
2005-11,57.296,
2005-12,59.719,
2006-01,65.398,
2006-02,70.181,
2006-03,71.320,
2006-04,70.165,
2006-05,69.606,
2006-06,77.784,
2006-07,77.176,
2006-08,74.954,
2006-09,82.936,
2006-10,84.025,
2006-11,85.199,
2006-12,80.543,
2007-01,77.594,
2007-02,81.306,
2007-03,79.982,
2007-04,80.277,
2007-05,82.199,
2007-06,78.901,
2007-07,79.258,
2007-08,76.501,
2007-09,86.770,
2007-10,84.064,
2007-11,80.053,
2007-12,89.816,
2008-01,88.087,
2008-02,86.580,
2008-03,92.537,
2008-04,85.432,
2008-05,92.342,
2008-06,91.508,
2008-07,88.326,
2008-08,89.393,
2008-09,91.645,
2008-10,98.147,
2008-11,94.111,
2008-12,91.326,
2009-01,93.857,
2009-02,90.104,
2009-03,90.612,
2009-04,89.964,
2009-05,88.667,
2009-06,89.135,
2009-07,86.477,
2009-08,85.030,
2009-09,82.644,
2009-10,84.147,
2009-11,84.769,
2009-12,84.915,
2010-01,75.734,
2010-02,75.993,
2010-03,81.023,
2010-04,82.216,
2010-05,85.830,
2010-06,86.289,
2010-07,90.851,
2010-08,87.410,
2010-09,90.301,
2010-10,91.994,
2010-11,89.455,
2010-12,89.546,
2011-01,95.428,
2011-02,89.220,
2011-03,90.581,
2011-04,92.188,
2011-05,90.656,
2011-06,91.772,
2011-07,87.541,
2011-08,92.173,
2011-09,92.510,
2011-10,91.144,
2011-11,92.889,
2011-12,98.185,
2012-01,89.315,
2012-02,91.358,
2012-03,105.322,
2012-04,108.134,
2012-05,102.177,
2012-06,108.309,
2012-07,109.193,
2012-08,103.168,
2012-09,99.264,
2012-10,95.704,
2012-11,96.129,
2012-12,93.111,
2013-01,93.951,
2013-02,93.312,
2013-03,88.569,
2013-04,93.305,
2013-05,86.890,
2013-06,86.734,
2013-07,81.502,
2013-08,73.956,
2013-09,77.876,
2013-10,66.661,
2013-11,67.436,
2013-12,70.026,
2014-01,69.773,
2014-02,69.180,
2014-03,71.795,
2014-04,68.867,
2014-05,71.601,
2014-06,69.841,
2014-07,69.596,
2014-08,72.022,
2014-09,73.635,
2014-10,74.698,
2014-11,73.797,
2014-12,74.548,
"","General: Up to December 2002, including Guernsey, Jersey and the Isle of Man.",
