"",BBK01.OECB03G,BBK01.OECB03G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:42,
2002-01,2.093,
2002-04,1.877,
2002-07,1.850,
2002-10,1.738,
2003-01,1.591,
2003-04,1.639,
2003-07,1.543,
2003-10,1.473,
2004-01,1.468,
2004-04,1.635,
2004-07,1.586,
2004-10,1.608,
2005-01,1.736,
2005-04,1.783,
2005-07,1.857,
2005-10,1.778,
2006-01,1.941,
2006-04,1.926,
2006-07,1.926,
2006-10,1.803,
2007-01,1.645,
2007-04,1.623,
2007-07,1.695,
2007-10,1.628,
2008-01,1.643,
2008-04,1.681,
2008-07,1.726,
2008-10,1.760,
2009-01,2.067,
2009-04,2.446,
2009-07,2.286,
2009-10,2.268,
2010-01,2.573,
2010-04,2.652,
2010-07,2.499,
2010-10,2.493,
2011-01,2.336,
2011-04,2.241,
2011-07,2.089,
2011-10,1.989,
2012-01,1.914,
2012-04,1.766,
2012-07,1.744,
2012-10,1.561,
2013-01,1.615,
2013-04,1.689,
2013-07,1.716,
2013-10,1.894,
2014-01,1.871,
2014-04,1.823,
2014-07,1.819,
