"",BBK01.OEXK02K,BBK01.OEXK02K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:04,
2002-01,0.980,
2002-04,1.022,
2002-07,1.182,
2002-10,1.092,
2003-01,1.132,
2003-04,1.164,
2003-07,1.199,
2003-10,1.217,
2004-01,1.049,
2004-04,1.163,
2004-07,1.188,
2004-10,0.584,
2005-01,0.639,
2005-04,0.653,
2005-07,0.637,
2005-10,0.775,
2006-01,0.833,
2006-04,0.813,
2006-07,0.766,
2006-10,0.773,
2007-01,0.781,
2007-04,0.848,
2007-07,0.875,
2007-10,1.015,
2008-01,1.000,
2008-04,0.882,
2008-07,0.882,
2008-10,0.823,
2009-01,0.964,
2009-04,1.053,
2009-07,1.119,
2009-10,1.198,
2010-01,1.348,
2010-04,1.305,
2010-07,1.236,
2010-10,1.585,
2011-01,1.595,
2011-04,1.566,
2011-07,1.614,
2011-10,1.636,
2012-01,1.624,
2012-04,1.713,
2012-07,1.677,
2012-10,1.669,
2013-01,1.874,
2013-04,1.840,
2013-07,2.003,
2013-10,2.042,
2014-01,2.176,
2014-04,2.297,
2014-07,2.207,
