"",BBFB1.Q.N.DE.W00200.S1.S1.T.A.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.W00200.S1.S1.T.A.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Industrial Countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:49:19,
1991-01,7895.053,
1991-04,-9340.854,
1991-07,-4295.628,
1991-10,12447.862,
1992-01,-2964.539,
1992-04,-7487.997,
1992-07,-2906.761,
1992-10,17455.410,
1993-01,28364.359,
1993-04,19400.442,
1993-07,2212.998,
1993-10,50015.295,
1994-01,-17989.271,
1994-04,-19913.843,
1994-07,1525.286,
1994-10,23134.956,
1995-01,6729.368,
1995-04,20299.603,
1995-07,5015.939,
1995-10,257.064,
1996-01,-5307.379,
1996-04,3636.974,
1996-07,-3064.260,
1996-10,26263.161,
1997-01,19174.601,
1997-04,9707.666,
1997-07,-2304.049,
1997-10,37102.370,
1998-01,22170.463,
1998-04,23114.203,
1998-07,12004.468,
1998-10,12652.208,
1999-01,43342.982,
1999-04,-7580.287,
1999-07,27061.942,
1999-10,-755.564,
2000-01,32173.905,
2000-04,14042.252,
2000-07,25941.779,
2000-10,7411.893,
2001-01,81624.862,
2001-04,-11223.580,
2001-07,45496.713,
2001-10,-7743.736,
2002-01,24342.762,
2002-04,48731.305,
2002-07,57453.785,
2002-10,27259.633,
2003-01,89166.038,
2003-04,52304.669,
2003-07,4386.818,
2003-10,15696.615,
2004-01,61260.366,
2004-04,-22250.093,
2004-07,77097.682,
2004-10,29002.749,
2005-01,71092.816,
2005-04,11720.931,
2005-07,37545.117,
2005-10,-26713.730,
2006-01,100559.987,
2006-04,37991.780,
2006-07,27122.499,
2006-10,26655.007,
2007-01,64311.498,
2007-04,114282.274,
2007-07,52405.244,
2007-10,43981.649,
2008-01,140684.537,
2008-04,-15703.353,
2008-07,56638.854,
2008-10,-51174.402,
2009-01,-42149.589,
2009-04,27091.288,
2009-07,-73619.409,
2009-10,-4860.881,
2010-01,29382.097,
2010-04,89583.358,
2010-07,52076.884,
2010-10,-35440.924,
2011-01,2163.291,
2011-04,47176.362,
2011-07,154038.333,
2011-10,-65740.368,
2012-01,184782.921,
2012-04,94090.829,
2012-07,-29900.913,
2012-10,-108209.847,
2013-01,-44245.881,
2013-04,-8835.789,
2013-07,-49562.472,
2013-10,-76964.334,
2014-01,11472.526,Provisional value
2014-04,11623.307,Provisional value
2014-07,7941.429,Provisional value
2014-10,-89287.524,Provisional value
