"",BBSF2.M.1.P.00000.TOT01.I.F.INV.US.00000.F05200.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.INV.US.00000.F05200.Z01.00_FLAGS
"",Public funds / Funds total / Investment fund shares / United States,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:44,
2011-03,25,
2011-04,26,
2011-05,36,
2011-06,21,
2011-07,25,
2011-08,39,
2011-09,64,
2011-10,60,
2011-11,62,
2011-12,59,
2012-01,57,
2012-02,58,
2012-03,48,
2012-04,44,
2012-05,38,
2012-06,37,
2012-07,41,
2012-08,43,
2012-09,5,
2012-10,5,
2012-11,5,
2012-12,4,
2013-01,4,
2013-02,5,
2013-03,8,
2013-04,8,
2013-05,9,
2013-06,8,
2013-07,9,
2013-08,10,
2013-09,8,
2013-10,21,
2013-11,22,
2013-12,23,
2014-01,23,
2014-02,24,
2014-03,20,
2014-04,23,
2014-05,11,
2014-06,7,
2014-07,9,
2014-08,11,
2014-09,11,
2014-10,10,
2014-11,10,
