"",BBK01.OXC7C1,BBK01.OXC7C1_FLAGS
"",Trading portfolio derivatives (included in other assets) / Big banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 08:24:45,
2010-12,809.052,
2011-01,744.022,
2011-02,713.741,
2011-03,635.653,
2011-04,632.750,
2011-05,679.833,
2011-06,608.876,
2011-07,721.420,
2011-08,866.364,
2011-09,971.335,
2011-10,854.901,
2011-11,847.119,
2011-12,924.485,
2012-01,919.812,
2012-02,893.647,
2012-03,846.851,
2012-04,862.222,
2012-05,1065.157,
2012-06,923.247,
2012-07,994.281,
2012-08,959.353,
2012-09,924.417,
2012-10,871.475,
2012-11,878.108,
2012-12,859.925,
2013-01,776.887,
2013-02,778.933,
2013-03,775.459,
2013-04,806.089,
2013-05,715.993,
2013-06,654.271,
2013-07,645.366,
2013-08,602.815,
2013-09,619.433,
2013-10,623.890,
2013-11,622.622,
2013-12,565.580,
2014-01,585.732,
2014-02,563.773,
2014-03,547.049,
2014-04,551.964,
2014-05,577.725,
2014-06,578.755,
2014-07,592.582,
2014-08,661.004,
2014-09,648.515,
2014-10,652.031,
2014-11,691.773,
2014-12,716.267,Provisional value
