"",BBFN1.M.DE.N.1.L.B0.S1P.F0.S.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.B0.S1P.F0.S.B000.Z01.BGA.X001.D_FLAGS
1985-10,22.897,
1985-11,23.000,
1985-12,20.644,
1986-01,21.880,
1986-02,21.619,
1986-03,21.322,
1986-04,20.625,
1986-05,20.063,
1986-06,19.434,
1986-07,19.034,
1986-08,18.987,
1986-09,18.586,
1986-10,18.907,
1986-11,18.413,
1986-12,15.816,
1987-01,16.788,
1987-02,17.244,
1987-03,16.004,
1987-04,15.426,
1987-05,15.155,
1987-06,15.030,
1987-07,14.824,
1987-08,14.814,
1987-09,14.964,
1987-10,15.821,
1987-11,16.204,
1987-12,14.672,
1988-01,15.504,
1988-02,15.604,
1988-03,15.086,
1988-04,14.952,
1988-05,15.120,
1988-06,15.402,
1988-07,15.201,
1988-08,15.026,
1988-09,15.233,
1988-10,15.392,
1988-11,15.523,
1988-12,14.485,
1989-01,15.431,
1989-02,15.300,
1989-03,15.772,
1989-04,15.577,
1989-05,15.507,
1989-06,15.760,
1989-07,15.812,
1989-08,16.202,
1989-09,16.151,
1989-10,16.569,
1989-11,17.509,
1989-12,15.593,
1990-01,17.107,
1990-02,17.739,
1990-03,18.240,
1990-04,18.408,
1990-05,18.154,
1990-06,18.873,
1990-07,18.859,
1990-08,19.466,
1990-09,19.967,
1990-10,20.417,
1990-11,21.381,
1990-12,18.022,
1991-01,19.655,
1991-02,21.385,
1991-03,21.867,
1991-04,22.857,
1991-05,23.533,
1991-06,24.217,
1991-07,24.520,
1991-08,25.589,
1991-09,25.721,
1991-10,25.806,
1991-11,25.627,
1991-12,25.116,
1992-01,24.890,
1992-02,23.666,
1992-03,21.098,
1992-04,19.269,
1992-05,19.897,
1992-06,20.605,
1992-07,22.666,
1992-08,22.727,
1992-09,24.675,
1992-10,24.432,
1992-11,25.478,
1992-12,24.449,
1993-01,26.989,
1993-02,26.924,
1993-03,25.812,
1993-04,27.024,
1993-05,26.389,
1993-06,24.983,
1993-07,24.096,
1993-08,24.728,
1993-09,23.330,
1993-10,22.994,
1993-11,22.217,
1993-12,21.724,
1994-01,21.837,
1994-02,21.727,
1994-03,21.936,
1994-04,21.601,
1994-05,22.041,
1994-06,21.601,
1994-07,21.757,
1994-08,21.555,
1994-09,21.849,
1994-10,22.010,
1994-11,22.168,
1994-12,20.479,
1995-01,21.966,
1995-02,21.780,
1995-03,23.035,
1995-04,22.252,
1995-05,22.915,
1995-06,22.888,
1995-07,22.637,
1995-08,22.886,
1995-09,23.327,
1995-10,23.476,
1995-11,24.157,
1995-12,22.245,
1996-01,22.319,
1996-02,23.679,
1996-03,22.052,
1996-04,22.788,
1996-05,22.933,
1996-06,21.016,
1996-07,21.592,
1996-08,21.705,
1996-09,23.243,
1996-10,22.816,
1996-11,23.212,
1996-12,22.070,
1997-01,20.822,
1997-02,22.541,
1997-03,22.448,
1997-04,23.731,
1997-05,25.063,
1997-06,26.701,
1997-07,26.664,
1997-08,25.417,
1997-09,24.752,
1997-10,27.241,
1997-11,26.209,
1997-12,24.613,
1998-01,26.059,
1998-02,25.868,
1998-03,28.514,
1998-04,28.068,
1998-05,25.556,
1998-06,22.305,
1998-07,22.956,
1998-08,22.203,
1998-09,22.189,
1998-10,22.649,
1998-11,24.034,
1998-12,22.951,
1999-01,23.107,
1999-02,22.248,
1999-03,24.431,
1999-04,24.506,
1999-05,23.462,
1999-06,25.980,
1999-07,27.741,
1999-08,29.347,
1999-09,27.881,
1999-10,29.744,
1999-11,26.749,
1999-12,34.617,
2000-01,38.266,
2000-02,46.836,
2000-03,45.294,
2000-04,43.348,
2000-05,44.346,
2000-06,33.666,
2000-07,27.372,
2000-08,26.206,
2000-09,32.633,
2000-10,30.397,
2000-11,29.002,
2000-12,27.987,
2001-01,31.073,
2001-02,26.039,
2001-03,25.078,
2001-04,27.377,
2001-05,31.320,
2001-06,28.227,
2001-07,30.026,
2001-08,28.757,
2001-09,27.344,
2001-10,26.642,
2001-11,26.784,
2001-12,23.814,
2002-01,25.869,
2002-02,27.133,
2002-03,28.262,
2002-04,26.543,
2002-05,28.600,
2002-06,26.388,
2002-07,26.594,
2002-08,26.813,
2002-09,25.113,
2002-10,24.822,
2002-11,25.512,
2002-12,21.110,
2003-01,24.013,
2003-02,21.455,
2003-03,21.772,
2003-04,23.522,
2003-05,21.255,
2003-06,19.670,
2003-07,20.596,
2003-08,20.624,
2003-09,19.297,
2003-10,18.346,
2003-11,19.108,
2003-12,19.940,
2004-01,22.832,
2004-02,23.886,
2004-03,22.050,
2004-04,21.616,
2004-05,21.087,
2004-06,18.804,
2004-07,17.729,
2004-08,17.395,
2004-09,17.907,
2004-10,17.229,
2004-11,16.310,
2004-12,14.156,
2005-01,15.501,
2005-02,15.718,
2005-03,14.535,
2005-04,14.858,
2005-05,15.171,
2005-06,14.429,
2005-07,15.595,
2005-08,19.054,
2005-09,20.149,
2005-10,21.164,
2005-11,20.996,
2005-12,18.061,
2006-01,20.412,
2006-02,23.824,
2006-03,24.202,
2006-04,24.776,
2006-05,23.445,
2006-06,27.652,
2006-07,28.340,
2006-08,29.333,
2006-09,32.423,
2006-10,30.166,
2006-11,29.026,
2006-12,23.548,
2007-01,29.865,
2007-02,36.036,
2007-03,32.179,
2007-04,30.911,
2007-05,32.093,
2007-06,31.690,
2007-07,32.578,
2007-08,29.426,
2007-09,32.660,
2007-10,27.901,
2007-11,30.365,
2007-12,27.542,
2008-01,41.363,
2008-02,43.683,
2008-03,33.076,
2008-04,37.209,
2008-05,40.246,
2008-06,34.314,
2008-07,32.908,
2008-08,32.308,
2008-09,35.094,
2008-10,42.603,
2008-11,39.219,
2008-12,37.621,
2009-01,45.180,
2009-02,39.117,
2009-03,40.522,
2009-04,42.483,
2009-05,37.487,
2009-06,37.004,
2009-07,32.179,
2009-08,32.660,
2009-09,31.017,
2009-10,31.577,
2009-11,32.403,
2009-12,36.088,
2010-01,32.408,
2010-02,31.565,
2010-03,30.169,
2010-04,32.040,
2010-05,35.528,
2010-06,39.148,
2010-07,45.281,
2010-08,46.189,
2010-09,46.913,
2010-10,46.878,
2010-11,45.045,
2010-12,44.262,
2011-01,48.689,
2011-02,46.840,
2011-03,42.733,
2011-04,49.022,
2011-05,49.629,
2011-06,53.018,
2011-07,59.326,
2011-08,63.986,
2011-09,72.995,
2011-10,64.952,
2011-11,65.163,
2011-12,64.740,
2012-01,65.282,
2012-02,62.695,
2012-03,77.876,
2012-04,83.134,
2012-05,89.950,
2012-06,86.827,
2012-07,83.447,
2012-08,73.298,
2012-09,79.219,
2012-10,79.974,
2012-11,76.373,
2012-12,72.858,
2013-01,78.555,
2013-02,81.376,
2013-03,86.384,
2013-04,97.024,
2013-05,92.223,
2013-06,99.742,
2013-07,92.861,
2013-08,79.453,
2013-09,84.242,
2013-10,74.414,
2013-11,77.619,
2013-12,60.440,
2014-01,71.564,
2014-02,66.582,
2014-03,71.078,
2014-04,77.057,
2014-05,75.025,
2014-06,71.999,
2014-07,83.506,
2014-08,77.278,
2014-09,74.938,
2014-10,72.178,
2014-11,72.852,
2014-12,68.561,
"","General: From 1973, including Denmark, Ireland and the United Kingdom; from 1981, including Greece; from 1986, including Portugal and Spain; from 1995, including Austria, Finland and Sweden; up to December 2002, including Guernsey, Jersey and the Isle of Man; from May 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; from January 2007, including Bulgaria and Romania.",
