"",BBFB1.Q.N.DE.CH.S1.S1.T.A.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.CH.S1.S1.T.A.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Switzerland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:35,
1991-01,768.471,
1991-04,219.638,
1991-07,237.556,
1991-10,-471.101,
1992-01,127.922,
1992-04,209.032,
1992-07,124.411,
1992-10,326.554,
1993-01,147.392,
1993-04,210.272,
1993-07,80.080,
1993-10,248.882,
1994-01,127.675,
1994-04,146.195,
1994-07,351.759,
1994-10,155.539,
1995-01,73.617,
1995-04,-4.221,
1995-07,96.287,
1995-10,386.179,
1996-01,-18.205,
1996-04,261.416,
1996-07,-148.334,
1996-10,188.197,
1997-01,1016.944,
1997-04,556.137,
1997-07,1495.093,
1997-10,407.245,
1998-01,542.819,
1998-04,2785.480,
1998-07,-717.027,
1998-10,791.579,
1999-01,260.340,
1999-04,486.238,
1999-07,331.880,
1999-10,988.475,
2000-01,1595.280,
2000-04,-983.600,
2000-07,1112.392,
2000-10,429.964,
2001-01,-2756.904,
2001-04,374.906,
2001-07,629.387,
2001-10,311.123,
2002-01,-678.948,
2002-04,371.396,
2002-07,635.198,
2002-10,-223.485,
2003-01,1105.992,
2003-04,538.580,
2003-07,-444.062,
2003-10,-1356.133,
2004-01,1305.888,
2004-04,155.406,
2004-07,197.420,
2004-10,-630.918,
2005-01,1407.265,
2005-04,808.134,
2005-07,914.423,
2005-10,1607.115,
2006-01,-487.072,
2006-04,244.650,
2006-07,2233.975,
2006-10,1768.538,
2007-01,12176.863,
2007-04,-933.757,
2007-07,2339.937,
2007-10,-2857.770,
2008-01,197.222,
2008-04,866.190,
2008-07,-171.472,
2008-10,300.348,
2009-01,951.583,
2009-04,1261.515,
2009-07,797.098,
2009-10,458.341,
2010-01,1369.775,
2010-04,524.430,
2010-07,912.266,
2010-10,1689.491,
2011-01,523.116,
2011-04,752.286,
2011-07,-51.015,
2011-10,569.442,
2012-01,1765.660,
2012-04,1568.593,
2012-07,-11.730,
2012-10,-240.787,
2013-01,1176.666,
2013-04,1111.678,
2013-07,-26.730,
2013-10,-1227.067,
2014-01,414.737,Provisional value
2014-04,3208.585,Provisional value
2014-07,301.647,Provisional value
2014-10,-1903.641,Provisional value
