"",BBK01.OELK01U,BBK01.OELK01U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:15,
2002-01,0.300,
2002-04,0.295,
2002-07,0.311,
2002-10,0.319,
2003-01,0.299,
2003-04,0.299,
2003-07,0.311,
2003-10,0.318,
2004-01,0.310,
2004-04,0.307,
2004-07,0.315,
2004-10,0.326,
2005-01,0.308,
2005-04,0.312,
2005-07,0.320,
2005-10,0.346,
2006-01,0.334,
2006-04,0.340,
2006-07,0.347,
2006-10,0.376,
2007-01,0.363,
2007-04,0.380,
2007-07,0.395,
2007-10,0.408,
2008-01,0.405,
2008-04,0.416,
2008-07,0.424,
2008-10,0.451,
2009-01,0.423,
2009-04,0.429,
2009-07,0.439,
2009-10,0.470,
2010-01,0.449,
2010-04,0.457,
2010-07,0.479,
2010-10,0.506,
2011-01,0.484,
2011-04,0.489,
2011-07,0.516,
2011-10,0.553,
2012-01,0.535,
2012-04,0.567,
2012-07,0.603,
2012-10,0.626,
2013-01,0.622,
2013-04,0.629,
2013-07,0.671,
2013-10,0.706,
2014-01,0.685,
2014-04,0.700,
2014-07,0.730,
