"",BBK01.WXI022,BBK01.WXI022_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:44,
2009-09,163,
2009-10,132,
2009-11,276,
2009-12,165,
2010-01,169,
2010-02,184,
2010-03,176,
2010-04,238,
2010-05,208,
2010-06,193,
2010-07,161,
2010-08,147,
2010-09,1252,
2010-10,257,
2010-11,175,
2010-12,210,
2011-01,360,
2011-02,225,
2011-03,272,
2011-04,266,
2011-05,265,
2011-06,344,
2011-07,264,
2011-08,316,
2011-09,567,
2011-10,408,
2011-11,635,
2011-12,213,
2012-01,370,
2012-02,263,
2012-03,361,
2012-04,196,
2012-05,233,
2012-06,251,
2012-07,422,
2012-08,206,
2012-09,235,
2012-10,222,
2012-11,294,
2012-12,345,
2013-01,521,
2013-02,339,
2013-03,154,
2013-04,331,
2013-05,299,
2013-06,234,
2013-07,341,
2013-08,229,
2013-09,587,
2013-10,421,
2013-11,608,
2013-12,429,
2014-01,191,
2014-02,261,
2014-03,224,
2014-04,219,
2014-05,216,
2014-06,214,
2014-07,348,
2014-08,384,
2014-09,220,
2014-10,251,
2014-11,417,
