"",BBK01.OEYB08T,BBK01.OEYB08T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:41,
2002-01,2.572,
2002-04,2.568,
2002-07,2.520,
2002-10,2.559,
2003-01,3.239,
2003-04,3.191,
2003-07,3.277,
2003-10,3.088,
2004-01,3.427,
2004-04,3.426,
2004-07,3.449,
2004-10,3.379,
2005-01,3.368,
2005-04,3.354,
2005-07,3.365,
2005-10,3.389,
2006-01,3.422,
2006-04,3.508,
2006-07,3.555,
2006-10,3.600,
2007-01,3.596,
2007-04,3.234,
2007-07,3.314,
2007-10,3.275,
2008-01,3.342,
2008-04,3.370,
2008-07,3.662,
2008-10,3.851,
2009-01,3.793,
2009-04,3.985,
2009-07,4.071,
2009-10,4.116,
2010-01,4.108,
2010-04,4.128,
2010-07,4.129,
2010-10,4.140,
2011-01,4.099,
2011-04,4.257,
2011-07,4.369,
2011-10,4.395,
2012-01,4.749,
2012-04,4.663,
2012-07,4.687,
2012-10,4.817,
2013-01,4.680,
2013-04,4.771,
2013-07,4.686,
2013-10,4.742,
2014-01,4.987,
2014-04,5.171,
2014-07,5.137,
