"",BBFN1.M.DE.N.1.A.O1.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.O1.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from trade credits / Total / Countries in Oceania,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:30:18,
1995-01,0.861,
1995-02,0.871,
1995-03,0.856,
1995-04,0.885,
1995-05,0.929,
1995-06,0.871,
1995-07,0.975,
1995-08,0.940,
1995-09,0.948,
1995-10,0.933,
1995-11,0.930,
1995-12,0.925,
1996-01,0.861,
1996-02,0.848,
1996-03,0.882,
1996-04,0.900,
1996-05,0.910,
1996-06,0.900,
1996-07,0.907,
1996-08,0.914,
1996-09,0.934,
1996-10,0.940,
1996-11,0.935,
1996-12,0.940,
1997-01,0.924,
1997-02,0.864,
1997-03,0.902,
1997-04,0.855,
1997-05,0.856,
1997-06,0.922,
1997-07,0.910,
1997-08,0.914,
1997-09,0.967,
1997-10,0.953,
1997-11,0.952,
1997-12,0.933,
1998-01,0.916,
1998-02,0.941,
1998-03,0.986,
1998-04,0.992,
1998-05,0.995,
1998-06,0.982,
1998-07,1.007,
1998-08,0.950,
1998-09,0.961,
1998-10,0.955,
1998-11,0.959,
1998-12,0.958,
1999-01,0.938,
1999-02,0.924,
1999-03,0.965,
1999-04,1.002,
1999-05,1.026,
1999-06,1.007,
1999-07,1.058,
1999-08,1.031,
1999-09,1.069,
1999-10,1.120,
1999-11,1.090,
1999-12,1.064,
2000-01,1.053,
2000-02,1.026,
2000-03,1.062,
2000-04,1.117,
2000-05,1.143,
2000-06,1.122,
2000-07,1.142,
2000-08,1.193,
2000-09,1.216,
2000-10,1.256,
2000-11,1.244,
2000-12,1.211,
2001-01,1.206,
2001-02,1.282,
2001-03,1.239,
2001-04,1.272,
2001-05,1.341,
2001-06,1.286,
2001-07,1.283,
2001-08,1.235,
2001-09,1.302,
2001-10,1.316,
2001-11,1.363,
2001-12,1.328,
2002-01,1.271,
2002-02,1.205,
2002-03,1.187,
2002-04,1.218,
2002-05,1.257,
2002-06,1.332,
2002-07,1.380,
2002-08,1.326,
2002-09,1.357,
2002-10,1.336,
2002-11,1.369,
2002-12,1.404,
2003-01,1.361,
2003-02,1.354,
2003-03,1.382,
2003-04,1.391,
2003-05,1.393,
2003-06,1.380,
2003-07,1.418,
2003-08,1.385,
2003-09,1.264,
2003-10,1.286,
2003-11,1.267,
2003-12,1.290,
2004-01,1.260,
2004-02,1.242,
2004-03,1.467,
2004-04,1.426,
2004-05,1.285,
2004-06,1.320,
2004-07,1.270,
2004-08,1.253,
2004-09,1.253,
2004-10,1.252,
2004-11,1.340,
2004-12,1.391,
2005-01,1.321,
2005-02,1.337,
2005-03,1.385,
2005-04,1.365,
2005-05,1.377,
2005-06,1.355,
2005-07,1.373,
2005-08,1.352,
2005-09,1.358,
2005-10,1.277,
2005-11,1.340,
2005-12,1.361,
2006-01,1.343,
2006-02,1.386,
2006-03,1.374,
2006-04,1.379,
2006-05,1.351,
2006-06,1.403,
2006-07,1.367,
2006-08,1.386,
2006-09,1.389,
2006-10,1.355,
2006-11,1.411,
2006-12,1.352,
2007-01,1.328,
2007-02,1.337,
2007-03,1.327,
2007-04,1.323,
2007-05,1.350,
2007-06,1.442,
2007-07,1.422,
2007-08,1.493,
2007-09,1.496,
2007-10,1.498,
2007-11,1.466,
2007-12,1.398,
2008-01,1.364,
2008-02,1.392,
2008-03,1.444,
2008-04,1.546,
2008-05,1.547,
2008-06,1.565,
2008-07,1.565,
2008-08,1.548,
2008-09,1.574,
2008-10,1.539,
2008-11,1.542,
2008-12,1.525,
2009-01,1.375,
2009-02,1.298,
2009-03,1.315,
2009-04,1.286,
2009-05,1.323,
2009-06,1.378,
2009-07,1.315,
2009-08,1.311,
2009-09,1.349,
2009-10,1.371,
2009-11,1.372,
2009-12,1.377,
2010-01,1.266,
2010-02,1.292,
2010-03,1.376,
2010-04,1.407,
2010-05,1.431,
2010-06,1.438,
2010-07,1.473,
2010-08,1.405,
2010-09,1.511,
2010-10,1.517,
2010-11,1.505,
2010-12,1.536,
2011-01,1.484,
2011-02,1.470,
2011-03,1.605,
2011-04,1.668,
2011-05,1.729,
2011-06,1.837,
2011-07,1.730,
2011-08,1.706,
2011-09,1.825,
2011-10,1.753,
2011-11,1.772,
2011-12,1.745,
2012-01,1.655,
2012-02,1.645,
2012-03,1.699,
2012-04,1.794,
2012-05,1.793,
2012-06,1.971,
2012-07,1.888,
2012-08,1.900,
2012-09,1.942,
2012-10,1.947,
2012-11,1.998,
2012-12,1.969,
2013-01,1.884,
2013-02,1.900,
2013-03,1.983,
2013-04,2.063,
2013-05,1.887,
2013-06,1.929,
2013-07,1.890,
2013-08,1.852,
2013-09,1.756,
2013-10,1.810,
2013-11,1.826,
2013-12,1.867,
2014-01,1.682,
2014-02,1.718,
2014-03,1.695,
2014-04,1.687,
2014-05,1.675,
2014-06,1.705,
2014-07,1.748,
2014-08,1.797,
2014-09,1.720,
2014-10,1.767,
2014-11,1.729,
2014-12,1.848,
