"",BBFB1.Q.N.DE.S6.S1.S1.T.C.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.S6.S1.S1.T.C.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Receipts / Other Asian countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:33:44,
1991-01,695.103,
1991-04,778.534,
1991-07,949.255,
1991-10,939.674,
1992-01,790.438,
1992-04,878.582,
1992-07,827.183,
1992-10,1013.297,
1993-01,843.290,
1993-04,964.550,
1993-07,1026.590,
1993-10,1040.637,
1994-01,948.877,
1994-04,982.769,
1994-07,1024.106,
1994-10,1032.476,
1995-01,1111.226,
1995-04,1108.613,
1995-07,1242.329,
1995-10,1362.502,
1996-01,1036.161,
1996-04,1158.356,
1996-07,1263.001,
1996-10,1520.050,
1997-01,1279.531,
1997-04,1392.839,
1997-07,1706.192,
1997-10,1528.193,
1998-01,1328.465,
1998-04,1521.615,
1998-07,1640.864,
1998-10,1514.334,
1999-01,1205.855,
1999-04,1475.242,
1999-07,1562.723,
1999-10,1844.022,
2000-01,1404.439,
2000-04,1559.953,
2000-07,1817.591,
2000-10,2095.458,
2001-01,1597.732,
2001-04,1887.973,
2001-07,1964.315,
2001-10,2046.256,
2002-01,1962.520,
2002-04,2136.458,
2002-07,2230.744,
2002-10,2300.970,
2003-01,2093.485,
2003-04,2048.601,
2003-07,2040.382,
2003-10,2328.227,
2004-01,2090.450,
2004-04,2452.689,
2004-07,2369.532,
2004-10,2717.090,
2005-01,2375.632,
2005-04,2802.585,
2005-07,3113.195,
2005-10,3249.507,
2006-01,3019.645,
2006-04,3398.247,
2006-07,3478.547,
2006-10,3943.091,
2007-01,3228.410,
2007-04,3520.547,
2007-07,3672.171,
2007-10,3950.293,
2008-01,3928.708,
2008-04,3990.748,
2008-07,4142.124,
2008-10,4314.983,
2009-01,3846.443,
2009-04,3916.405,
2009-07,3777.865,
2009-10,4176.395,
2010-01,3791.886,
2010-04,4514.199,
2010-07,4737.205,
2010-10,5073.634,
2011-01,4264.485,
2011-04,4656.566,
2011-07,4962.118,
2011-10,5512.701,
2012-01,4793.455,
2012-04,5095.931,
2012-07,5464.978,
2012-10,5675.970,
2013-01,4811.362,
2013-04,5610.095,
2013-07,5683.089,
2013-10,6194.043,
2014-01,5228.632,Provisional value
2014-04,5849.019,Provisional value
2014-07,5976.830,Provisional value
