"",BBK01.CEL00L,BBK01.CEL00L_FLAGS
"",Acquisition of financial assets total debtor: Total                creditor: Pension funds,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:50:47,
1999-01,2.7,
1999-04,1.1,
1999-07,1.1,
1999-10,-0.4,
2000-01,2.4,
2000-04,0.9,
2000-07,0.1,
2000-10,-1.5,
2001-01,1.9,
2001-04,1.8,
2001-07,1.6,
2001-10,1.4,
2002-01,3.7,
2002-04,0.2,
2002-07,1.1,
2002-10,1.2,
2003-01,2.4,
2003-04,1.4,
2003-07,1.0,
2003-10,6.6,
2004-01,2.4,
2004-04,1.4,
2004-07,1.4,
2004-10,2.9,
2005-01,3.5,
2005-04,1.4,
2005-07,2.8,
2005-10,3.5,
2006-01,1.8,
2006-04,4.1,
2006-07,1.9,
2006-10,8.8,
2007-01,0.9,
2007-04,3.9,
2007-07,2.2,
2007-10,5.8,
2008-01,3.2,
2008-04,1.7,
2008-07,3.0,
2008-10,2.8,
2009-01,3.9,
2009-04,0.2,
2009-07,-0.6,
2009-10,1.9,
2010-01,5.8,
2010-04,2.0,
2010-07,2.7,
2010-10,5.9,
2011-01,5.9,
2011-04,5.7,
2011-07,2.2,
2011-10,6.5,
2012-01,8.0,
2012-04,2.1,
2012-07,1.3,
2012-10,11.7,
2013-01,12.3,
2013-04,1.0,
2013-07,2.9,
2013-10,2.4,
2014-01,3.6,
2014-04,3.7,
2014-07,1.0,
