"",BBK01.OEAN01I,BBK01.OEAN01I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:50,
2002-01,14.833,
2002-04,14.066,
2002-07,13.965,
2002-10,14.162,
2003-01,14.231,
2003-04,14.061,
2003-07,13.888,
2003-10,13.941,
2004-01,13.709,
2004-04,13.471,
2004-07,13.364,
2004-10,13.555,
2005-01,16.194,
2005-04,16.022,
2005-07,15.875,
2005-10,16.013,
2006-01,15.889,
2006-04,15.776,
2006-07,15.562,
2006-10,15.708,
2007-01,16.105,
2007-04,16.091,
2007-07,16.249,
2007-10,16.586,
2008-01,16.538,
2008-04,16.615,
2008-07,16.548,
2008-10,17.920,
2009-01,17.873,
2009-04,17.536,
2009-07,17.329,
2009-10,16.928,
2010-01,16.427,
2010-04,16.218,
2010-07,16.060,
2010-10,16.446,
2011-01,16.487,
2011-04,16.278,
2011-07,16.164,
2011-10,16.214,
2012-01,16.373,
2012-04,16.204,
2012-07,15.924,
2012-10,15.949,
2013-01,15.741,
2013-04,15.577,
2013-07,15.377,
2013-10,15.329,
2014-01,15.190,
2014-04,15.077,
2014-07,15.319,
