"",BBK01.OEXB03G,BBK01.OEXB03G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:53,
2002-01,6.276,
2002-04,9.469,
2002-07,9.370,
2002-10,9.347,
2003-01,9.497,
2003-04,9.276,
2003-07,9.558,
2003-10,10.410,
2004-01,11.033,
2004-04,11.784,
2004-07,11.956,
2004-10,14.652,
2005-01,10.286,
2005-04,10.273,
2005-07,7.877,
2005-10,7.950,
2006-01,7.893,
2006-04,8.017,
2006-07,8.001,
2006-10,6.638,
2007-01,6.757,
2007-04,7.044,
2007-07,7.229,
2007-10,7.273,
2008-01,7.441,
2008-04,7.614,
2008-07,7.760,
2008-10,8.083,
2009-01,8.459,
2009-04,9.411,
2009-07,9.595,
2009-10,10.494,
2010-01,10.437,
2010-04,10.799,
2010-07,11.615,
2010-10,12.530,
2011-01,12.477,
2011-04,12.670,
2011-07,13.198,
2011-10,14.170,
2012-01,14.425,
2012-04,14.547,
2012-07,14.682,
2012-10,14.378,
2013-01,13.963,
2013-04,14.172,
2013-07,13.923,
2013-10,14.914,
2014-01,14.865,
2014-04,14.473,
2014-07,14.465,
