"",BBK01.QX5659,BBK01.QX5659_FLAGS
"","Banks in Germany: Liabilities to non-residents, total / Slovak Republic / All currencies",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 07:11:25,
1994-03,0.061,
1994-04,0.049,
1994-05,0.066,
1994-06,0.061,
1994-07,0.064,
1994-08,0.065,
1994-09,0.105,
1994-10,0.062,
1994-11,0.056,
1994-12,0.070,
1995-01,0.094,
1995-02,0.084,
1995-03,0.134,
1995-04,0.128,
1995-05,0.103,
1995-06,0.090,
1995-07,0.092,
1995-08,0.086,
1995-09,0.085,
1995-10,0.089,
1995-11,0.114,
1995-12,0.123,
1996-01,0.082,
1996-02,0.071,
1996-03,0.056,
1996-04,0.086,
1996-05,0.076,
1996-06,0.086,
1996-07,0.072,
1996-08,0.115,
1996-09,0.086,
1996-10,0.093,
1996-11,0.125,
1996-12,0.162,
1997-01,0.121,
1997-02,0.138,
1997-03,0.216,
1997-04,0.113,
1997-05,0.125,
1997-06,0.176,
1997-07,0.343,
1997-08,0.143,
1997-09,0.393,
1997-10,0.152,
1997-11,0.194,
1997-12,0.227,
1998-01,0.165,
1998-02,0.146,
1998-03,0.214,
1998-04,0.263,
1998-05,0.303,
1998-06,0.259,
1998-07,0.307,
1998-08,0.270,
1998-09,0.183,
1998-10,0.234,
1998-11,0.331,
1998-12,0.221,
1999-01,0.352,
1999-02,0.187,
1999-03,0.226,
1999-04,0.185,
1999-05,0.231,
1999-06,0.516,
1999-07,0.231,
1999-08,0.237,
1999-09,0.395,
1999-10,0.249,
1999-11,0.292,
1999-12,0.197,
2000-01,0.342,
2000-02,0.311,
2000-03,0.326,
2000-04,0.136,
2000-05,0.108,
2000-06,0.110,
2000-07,0.361,
2000-08,0.771,
2000-09,0.224,
2000-10,0.206,
2000-11,0.225,
2000-12,0.230,
2001-01,0.197,
2001-02,0.175,
2001-03,0.296,
2001-04,0.283,
2001-05,0.309,
2001-06,0.509,
2001-07,0.428,
2001-08,0.645,
2001-09,0.425,
2001-10,0.242,
2001-11,0.287,
2001-12,0.269,
2002-01,0.273,
2002-02,0.270,
2002-03,0.229,
2002-04,0.260,
2002-05,0.167,
2002-06,0.234,
2002-07,0.205,
2002-08,0.181,
2002-09,0.207,
2002-10,0.280,
2002-11,0.179,
2002-12,0.151,
2003-01,0.193,
2003-02,0.194,
2003-03,0.184,
2003-04,0.197,
2003-05,0.141,
2003-06,0.131,
2003-07,0.147,
2003-08,0.249,
2003-09,0.358,
2003-10,0.208,
2003-11,0.207,
2003-12,0.132,
2004-01,0.190,
2004-02,0.179,
2004-03,0.154,
2004-04,0.128,
2004-05,0.092,
2004-06,0.154,
2004-07,0.088,
2004-08,0.094,
2004-09,0.129,
2004-10,0.159,
2004-11,0.169,
2004-12,0.145,
2005-01,0.134,
2005-02,0.139,
2005-03,0.149,
2005-04,0.129,
2005-05,0.160,
2005-06,0.141,
2005-07,0.150,
2005-08,0.211,
2005-09,0.242,
2005-10,0.089,
2005-11,0.129,
2005-12,0.166,
2006-01,0.179,
2006-02,0.105,
2006-03,0.208,
2006-04,0.143,
2006-05,0.193,
2006-06,0.204,
2006-07,0.320,
2006-08,0.309,
2006-09,0.369,
2006-10,0.402,
2006-11,0.311,
2006-12,0.276,
2007-01,0.254,
2007-02,0.249,
2007-03,0.269,
2007-04,0.464,
2007-05,0.106,
2007-06,0.185,
2007-07,0.192,
2007-08,0.163,
2007-09,0.192,
2007-10,0.193,
2007-11,0.120,
2007-12,0.203,
2008-01,0.186,
2008-02,0.205,
2008-03,0.239,
2008-04,0.232,
2008-05,0.236,
2008-06,0.263,
2008-07,0.270,
2008-08,0.144,
2008-09,0.203,
2008-10,0.211,
2008-11,0.150,
2008-12,0.232,
2009-01,0.419,
2009-02,0.472,
2009-03,0.480,
2009-04,0.372,
2009-05,0.430,
2009-06,0.368,
2009-07,0.308,
2009-08,0.304,
2009-09,0.156,
2009-10,0.159,
2009-11,0.203,
2009-12,0.175,
2010-01,0.134,
2010-02,0.144,
2010-03,0.210,
2010-04,0.146,
2010-05,0.209,
2010-06,0.175,
2010-07,0.152,
2010-08,0.177,
2010-09,0.169,
2010-10,0.135,
2010-11,0.142,
2010-12,0.142,
2011-01,0.373,
2011-02,0.346,
2011-03,0.162,
2011-04,0.179,
2011-05,0.146,
2011-06,0.151,
2011-07,0.160,
2011-08,0.177,
2011-09,0.166,
2011-10,0.194,
2011-11,0.181,
2011-12,0.174,
2012-01,0.190,
2012-02,0.187,
2012-03,0.175,
2012-04,0.177,
2012-05,0.197,
2012-06,0.173,
2012-07,0.188,
2012-08,0.186,
2012-09,0.183,
2012-10,0.291,
2012-11,0.206,
2012-12,0.204,
2013-01,0.198,
2013-02,0.164,
2013-03,0.178,
2013-04,0.190,
2013-05,0.220,
2013-06,0.268,
2013-07,0.215,
2013-08,0.168,
2013-09,0.240,
2013-10,0.142,
2013-11,0.160,
2013-12,0.213,
2014-01,0.168,
2014-02,0.169,
2014-03,0.201,
2014-04,0.171,
2014-05,0.214,
2014-06,0.443,
2014-07,0.214,
2014-08,0.223,
2014-09,0.282,
2014-10,0.160,
2014-11,0.214,
2014-12,0.269,
