"",BBDE1.M.DE.Y.BAA1.A2R130050.G.C.I10.A,BBDE1.M.DE.Y.BAA1.A2R130050.G.C.I10.A_FLAGS
"",Output in the production sector / Germany / 13+14 Manufacture of textiles and wearing apparel / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-06 08:29:58,
1991-01,335.3,
1991-02,334.2,
1991-03,340.9,
1991-04,351.6,
1991-05,320.4,
1991-06,341.4,
1991-07,321.1,
1991-08,297.3,
1991-09,316.8,
1991-10,326.6,
1991-11,322.9,
1991-12,314.6,
1992-01,306.4,
1992-02,308.7,
1992-03,304.4,
1992-04,306.9,
1992-05,305.9,
1992-06,285.0,
1992-07,272.3,
1992-08,279.6,
1992-09,287.4,
1992-10,283.7,
1992-11,275.5,
1992-12,266.1,
1993-01,270.7,
1993-02,264.1,
1993-03,264.3,
1993-04,263.7,
1993-05,265.2,
1993-06,251.8,
1993-07,237.8,
1993-08,258.2,
1993-09,253.7,
1993-10,252.5,
1993-11,247.0,
1993-12,247.5,
1994-01,247.5,
1994-02,241.7,
1994-03,242.6,
1994-04,241.5,
1994-05,233.5,
1994-06,233.6,
1994-07,224.2,
1994-08,233.2,
1994-09,221.7,
1994-10,222.1,
1994-11,223.3,
1994-12,229.5,
1995-01,231.0,
1995-02,226.2,
1995-03,222.2,
1995-04,222.4,
1995-05,224.8,
1995-06,218.4,
1995-07,223.8,
1995-08,211.7,
1995-09,218.3,
1995-10,212.7,
1995-11,215.0,
1995-12,206.8,
1996-01,207.7,
1996-02,209.7,
1996-03,206.4,
1996-04,205.1,
1996-05,205.5,
1996-06,205.3,
1996-07,202.0,
1996-08,204.1,
1996-09,204.7,
1996-10,204.1,
1996-11,204.4,
1996-12,206.4,
1997-01,204.1,
1997-02,205.7,
1997-03,204.1,
1997-04,198.6,
1997-05,192.5,
1997-06,203.0,
1997-07,206.0,
1997-08,190.1,
1997-09,196.5,
1997-10,196.3,
1997-11,196.9,
1997-12,201.6,
1998-01,204.0,
1998-02,198.3,
1998-03,197.4,
1998-04,197.7,
1998-05,198.9,
1998-06,196.6,
1998-07,196.3,
1998-08,190.8,
1998-09,194.6,
