"",BBK01.OEBB23G,BBK01.OEBB23G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:41,
2002-01,0.510,
2002-04,0.495,
2002-07,0.281,
2002-10,0.263,
2003-01,0.150,
2003-04,0.138,
2003-07,0.106,
2003-10,0.072,
2004-01,0.378,
2004-04,0.404,
2004-07,0.395,
2004-10,0.459,
2005-01,0.090,
2005-04,0.067,
2005-07,0.020,
2005-10,0.022,
2006-01,0.025,
2006-04,0.028,
2006-07,0.027,
2006-10,0.045,
2007-01,0.049,
2007-04,0.040,
2007-07,0.035,
2007-10,0.034,
2008-01,0.028,
2008-04,0.028,
2008-07,0.085,
2008-10,0.087,
2009-01,0.068,
2009-04,0.109,
2009-07,0.104,
2009-10,0.051,
2010-01,0.048,
2010-04,0.053,
2010-07,0.059,
2010-10,0.051,
2011-01,0.030,
2011-04,0.023,
2011-07,0.022,
2011-10,0.021,
2012-01,0.021,
2012-04,0.030,
2012-07,0.031,
2012-10,0.032,
2013-01,0.032,
2013-04,0.050,
2013-07,0.049,
2013-10,0.059,
2014-01,0.055,
2014-04,0.044,
2014-07,0.043,
