"",BBFI1.Q.N.DE.W1.S13.S1.K7B.A.FA.O.F4.S._T.N.N,BBFI1.Q.N.DE.W1.S13.S1.K7B.A.FA.O.F4.S._T.N.N_FLAGS
"",IIP - Other Investment - Loans - General government - Short-term original maturity (up to 1 year incl. incl.) - Assets - Revaluations due to price changes other than exchange rate changes,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:06:15,
2013-01,-,Nothing exists
2013-04,-,Nothing exists
2013-07,-,Nothing exists
2013-10,-,Nothing exists
2014-01,-,Nothing exists
2014-04,-,Nothing exists
2014-07,-,Nothing exists
