"",BBSF2.M.1.T.00000.IMM01.I.F.BGS.U201.00000.000000.Z01.00,BBSF2.M.1.T.00000.IMM01.I.F.BGS.U201.00000.000000.Z01.00_FLAGS
"","Funds total / Real estate funds / Developed properties / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:53,
2009-09,34977,
2009-10,35161,
2009-11,35230,
2009-12,35934,
2010-01,36048,
2010-02,36251,
2010-03,36364,
2010-04,36487,
2010-05,36539,
2010-06,36186,
2010-07,36226,
2010-08,36317,
2010-09,36077,
2010-10,36102,
2010-11,36115,
2010-12,35482,
2011-01,35389,
2011-02,35209,
2011-03,35018,
2011-04,35010,
2011-05,34866,
2011-06,34796,
2011-07,34804,
2011-08,35086,
2011-09,34880,
2011-10,34549,
2011-11,34637,
2011-12,33860,
2012-01,33778,
2012-02,33639,
2012-03,33722,
2012-04,33330,
2012-05,33008,
2012-06,33025,
2012-07,32651,
2012-08,32526,
2012-09,32472,
2012-10,32461,
2012-11,32203,
2012-12,31897,
2013-01,31359,
2013-02,31287,
2013-03,31015,
2013-04,30802,
2013-05,30916,
2013-06,29532,
2013-07,29035,
2013-08,28773,
2013-09,27999,
2013-10,27743,
2013-11,27643,
2013-12,27466,
2014-01,27401,
2014-02,27016,
2014-03,27439,
2014-04,27208,
2014-05,27057,
2014-06,26896,
2014-07,26458,
2014-08,26348,
2014-09,26940,
2014-10,26375,
2014-11,25887,
