"",BBK01.OEAM01S,BBK01.OEAM01S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:38:13,
2002-01,2.787,
2002-04,2.663,
2002-07,2.601,
2002-10,2.746,
2003-01,2.528,
2003-04,2.436,
2003-07,2.418,
2003-10,2.509,
2004-01,2.394,
2004-04,2.462,
2004-07,2.433,
2004-10,1.044,
2005-01,1.013,
2005-04,1.144,
2005-07,1.123,
2005-10,1.125,
2006-01,1.052,
2006-04,1.162,
2006-07,1.175,
2006-10,1.155,
2007-01,1.252,
2007-04,1.429,
2007-07,1.515,
2007-10,1.485,
2008-01,1.517,
2008-04,1.608,
2008-07,1.673,
2008-10,1.711,
2009-01,1.888,
2009-04,1.867,
2009-07,1.775,
2009-10,1.790,
2010-01,1.674,
2010-04,1.831,
2010-07,2.004,
2010-10,1.843,
2011-01,1.771,
2011-04,1.803,
2011-07,1.776,
2011-10,2.040,
2012-01,2.026,
2012-04,1.997,
2012-07,2.160,
2012-10,2.238,
2013-01,2.138,
2013-04,2.345,
2013-07,2.291,
2013-10,2.400,
2014-01,2.292,
2014-04,2.445,
2014-07,2.380,
