"",BBFI1.Q.N.DE.W1.S1.S1.LE.N.FA.O.F519._Z._T.M.N,BBFI1.Q.N.DE.W1.S1.S1.LE.N.FA.O.F519._Z._T.M.N_FLAGS
"",IIP - Other Investment - Other equity  - Net (Assets minus Liabilities) - Positions - all sectors - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:02:01,
1999-10,26955,
2000-01,-,Nothing exists
2000-04,-,Nothing exists
2000-07,-,Nothing exists
2000-10,28108,
2001-01,-,Nothing exists
2001-04,-,Nothing exists
2001-07,-,Nothing exists
2001-10,29459,
2002-01,-,Nothing exists
2002-04,-,Nothing exists
2002-07,-,Nothing exists
2002-10,29177,
2003-01,-,Nothing exists
2003-04,-,Nothing exists
2003-07,-,Nothing exists
2003-10,29249,
2004-01,16296,
2004-04,16215,
2004-07,16568,
2004-10,16634,
2005-01,17120,
2005-04,17659,
2005-07,18297,
2005-10,18460,
2006-01,18937,
2006-04,19408,
2006-07,19921,
2006-10,20248,
2007-01,19699,
2007-04,20861,
2007-07,22444,
2007-10,24829,
2008-01,26499,
2008-04,27204,
2008-07,27458,
2008-10,26655,
2009-01,27151,
2009-04,27338,
2009-07,27933,
2009-10,28288,
2010-01,28808,
2010-04,29422,
2010-07,30257,
2010-10,31169,
2011-01,31387,
2011-04,31859,
2011-07,32642,
2011-10,33483,
2012-01,34416,
2012-04,34881,
2012-07,35171,
2012-10,45989,
2013-01,46420,
2013-04,51116,
2013-07,51351,
2013-10,55572,
2014-01,55883,
2014-04,60235,
2014-07,60601,
