"",BBK01.OEHB21V,BBK01.OEHB21V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:47,
2002-01,1.733,
2002-04,1.751,
2002-07,1.801,
2002-10,1.820,
2003-01,2.004,
2003-04,2.096,
2003-07,2.147,
2003-10,2.216,
2004-01,2.199,
2004-04,2.154,
2004-07,2.088,
2004-10,2.059,
2005-01,2.037,
2005-04,1.980,
2005-07,2.024,
2005-10,2.127,
2006-01,2.131,
2006-04,2.153,
2006-07,2.133,
2006-10,2.063,
2007-01,2.170,
2007-04,2.139,
2007-07,2.112,
2007-10,2.157,
2008-01,2.149,
2008-04,2.132,
2008-07,2.140,
2008-10,2.233,
2009-01,2.386,
2009-04,2.530,
2009-07,2.623,
2009-10,2.669,
2010-01,2.631,
2010-04,2.771,
2010-07,2.920,
2010-10,2.933,
2011-01,2.943,
2011-04,2.950,
2011-07,2.931,
2011-10,2.964,
2012-01,2.944,
2012-04,2.961,
2012-07,2.960,
2012-10,2.987,
2013-01,3.008,
2013-04,2.981,
2013-07,2.980,
2013-10,2.975,
2014-01,2.927,
2014-04,2.888,
2014-07,2.849,
