"",BBSF2.M.1.T.00000.IMM01.I.F.BGG.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.IMM01.I.F.BGG.Z5.00000.000000.Z01.00_FLAGS
2011-10,25544,
2011-11,25743,
2011-12,26035,
2012-01,26319,
2012-02,26138,
2012-03,25868,
2012-04,25109,
2012-05,25239,
2012-06,25251,
2012-07,25432,
2012-08,25106,
2012-09,24874,
2012-10,24779,
2012-11,24749,
2012-12,24606,
2013-01,24514,
2013-02,24864,
2013-03,24887,
2013-04,24648,
2013-05,24709,
2013-06,24754,
2013-07,24652,
2013-08,24736,
2013-09,24504,
2013-10,24160,
2013-11,24129,
2013-12,24827,
2014-01,24932,
2014-02,25152,
2014-03,25155,
2014-04,24786,
2014-05,24869,
2014-06,25113,
2014-07,25464,
2014-08,25834,
2014-09,25771,
2014-10,25444,
2014-11,25887,
