"",BBK01.OEYI02S,BBK01.OEYI02S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:45,
2002-01,0.130,
2002-04,0.078,
2002-07,0.056,
2002-10,0.066,
2003-01,0.071,
2003-04,0.058,
2003-07,0.053,
2003-10,0.064,
2004-01,0.079,
2004-04,0.068,
2004-07,0.054,
2004-10,0.041,
2005-01,0.042,
2005-04,0.034,
2005-07,0.034,
2005-10,0.041,
2006-01,0.043,
2006-04,0.062,
2006-07,0.028,
2006-10,0.050,
2007-01,0.037,
2007-04,0.042,
2007-07,0.038,
2007-10,0.020,
2008-01,0.036,
2008-04,0.067,
2008-07,0.032,
2008-10,0.019,
2009-01,0.039,
2009-04,0.044,
2009-07,0.038,
2009-10,0.034,
2010-01,0.056,
2010-04,0.056,
2010-07,0.027,
2010-10,0.026,
2011-01,0.130,
2011-04,0.079,
2011-07,0.113,
2011-10,0.180,
2012-01,0.328,
2012-04,0.266,
2012-07,0.471,
2012-10,0.326,
2013-01,0.521,
2013-04,0.523,
2013-07,0.480,
2013-10,0.126,
2014-01,0.242,
2014-04,0.339,
2014-07,0.382,
