"",BBK01.OEAB08S,BBK01.OEAB08S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:31,
2002-01,20.338,
2002-04,20.312,
2002-07,20.312,
2002-10,20.426,
2003-01,20.353,
2003-04,20.483,
2003-07,20.584,
2003-10,20.847,
2004-01,20.627,
2004-04,20.648,
2004-07,20.720,
2004-10,19.337,
2005-01,20.362,
2005-04,20.452,
2005-07,20.410,
2005-10,20.322,
2006-01,20.301,
2006-04,20.396,
2006-07,20.559,
2006-10,20.649,
2007-01,20.722,
2007-04,20.854,
2007-07,21.029,
2007-10,21.098,
2008-01,21.074,
2008-04,21.307,
2008-07,21.615,
2008-10,21.663,
2009-01,21.712,
2009-04,22.505,
2009-07,22.708,
2009-10,22.933,
2010-01,23.098,
2010-04,23.580,
2010-07,23.860,
2010-10,24.146,
2011-01,24.448,
2011-04,24.808,
2011-07,25.131,
2011-10,25.735,
2012-01,25.940,
2012-04,26.782,
2012-07,27.123,
2012-10,27.515,
2013-01,27.672,
2013-04,27.837,
2013-07,28.160,
2013-10,28.428,
2014-01,28.456,
2014-04,28.607,
2014-07,28.978,
