"",BBK01.OEAD12G,BBK01.OEAD12G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:30,
2002-01,0.559,
2002-04,0.475,
2002-07,0.477,
2002-10,0.540,
2003-01,0.538,
2003-04,0.605,
2003-07,0.548,
2003-10,0.798,
2004-01,0.886,
2004-04,0.548,
2004-07,0.561,
2004-10,0.458,
2005-01,0.474,
2005-04,0.561,
2005-07,0.357,
2005-10,0.316,
2006-01,0.445,
2006-04,0.347,
2006-07,0.350,
2006-10,0.288,
2007-01,0.353,
2007-04,0.319,
2007-07,0.304,
2007-10,0.673,
2008-01,0.382,
2008-04,0.441,
2008-07,0.648,
2008-10,1.128,
2009-01,1.006,
2009-04,0.747,
2009-07,0.843,
2009-10,0.772,
2010-01,0.823,
2010-04,0.760,
2010-07,0.354,
2010-10,0.289,
2011-01,0.302,
2011-04,0.392,
2011-07,0.442,
2011-10,0.401,
2012-01,0.549,
2012-04,0.461,
2012-07,0.481,
2012-10,0.383,
2013-01,0.463,
2013-04,0.423,
2013-07,0.410,
2013-10,0.384,
2014-01,0.419,
2014-04,0.391,
2014-07,0.351,
