"",BBK01.OELO04O,BBK01.OELO04O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:39,
2002-01,-0.156,
2002-04,-0.140,
2002-07,-0.082,
2002-10,-0.080,
2003-01,-0.078,
2003-04,-0.108,
2003-07,-0.143,
2003-10,-0.048,
2004-01,-0.083,
2004-04,-0.061,
2004-07,-0.115,
2004-10,-0.146,
2005-01,-0.152,
2005-04,-0.141,
2005-07,-0.144,
2005-10,-0.159,
2006-01,-0.175,
2006-04,-0.045,
2006-07,-0.147,
2006-10,-0.263,
2007-01,-0.463,
2007-04,-0.356,
2007-07,-0.334,
2007-10,-0.313,
2008-01,-0.294,
2008-04,-0.329,
2008-07,-0.565,
2008-10,-0.464,
2009-01,-0.021,
2009-04,0.226,
2009-07,0.370,
2009-10,0.393,
2010-01,0.441,
2010-04,0.104,
2010-07,0.032,
2010-10,-0.088,
2011-01,-0.065,
2011-04,-0.018,
2011-07,-0.081,
2011-10,0.008,
2012-01,-0.056,
2012-04,-0.067,
2012-07,-0.127,
2012-10,-0.219,
2013-01,-0.161,
2013-04,-0.128,
2013-07,-0.091,
2013-10,0.022,
2014-01,-0.038,
2014-04,-0.061,
2014-07,-0.138,
